Frequency,North_Port_Input,South_Port_Output,DS_AFE_Input
108867187.5000,-41.7124,-22.7537,-48.5797
108967712.4020,-41.7211,-22.7936,-48.4897
109068237.3050,-41.6598,-22.9134,-48.9397
109168762.2070,-41.7685,-22.4732,-48.9097
109269287.1090,-41.5272,-23.3731,-48.9497
109369812.0120,-41.6559,-23.3829,-49.3297
109470336.9140,-41.8337,-23.0227,-48.7297
109570861.8160,-41.6412,-22.9824,-48.3197
109671386.7190,-41.5788,-23.6322,-48.5697
109771911.6210,-41.5763,-23.2820,-48.9297
109872436.5230,-42.1839,-23.1217,-49.0297
109972961.4260,-41.7815,-23.3615,-48.4397
110073486.3280,-41.8890,-23.5313,-49.4197
110174011.2300,-42.1766,-23.3510,-49.5997
110274536.1330,-41.5941,-23.2508,-48.8597
110375061.0350,-41.3917,-23.7306,-48.8597
110475585.9380,-41.3893,-22.6703,-48.8997
110576110.8400,-41.2068,-22.7601,-48.8697
110676635.7420,-41.4244,-22.8699,-48.8097
110777160.6450,-41.8520,-23.0596,-48.8497
110877685.5470,-41.6009,-23.0797,-49.0997
110978210.4490,-41.3999,-22.8398,-49.2397
111078735.3520,-41.8089,-22.4499,-48.6997
111179260.2540,-41.6278,-22.7500,-48.8897
111279785.1560,-41.2968,-23.2201,-48.7797
111380310.0590,-41.5958,-22.9302,-48.5397
111480834.9610,-41.6847,-23.3903,-48.7197
111581359.8630,-41.6137,-23.1904,-48.6897
111681884.7660,-41.5427,-23.0205,-48.7897
111782409.6680,-41.6916,-23.2106,-48.7097
111882934.5700,-41.3406,-23.0108,-48.5497
111983459.4730,-41.5496,-22.8808,-48.9697
112083984.3750,-41.1985,-23.1710,-49.0397
112184509.2770,-41.2181,-23.0912,-48.7697
112285034.1800,-41.0896,-23.3517,-48.9697
112385559.0820,-40.8611,-23.1723,-49.0297
112486083.9840,-41.8526,-23.5628,-48.9597
112586608.8870,-41.6441,-23.2534,-48.8797
112687133.7890,-41.3656,-22.8839,-49.0697
112787658.6910,-41.3871,-23.5244,-48.9597
112888183.5940,-41.7887,-23.0950,-49.0197
112988708.4960,-41.6902,-22.8855,-49.2897
113089233.3980,-42.0017,-23.2761,-48.8797
113189758.3010,-42.0032,-23.1366,-49.0397
113290283.2030,-41.6547,-23.1572,-49.3797
113390808.1050,-41.8562,-23.1177,-49.0697
113491333.0080,-41.3277,-23.4983,-48.2597
113591857.9100,-41.4991,-23.4087,-48.3497
113692382.8120,-34.0601,-22.0589,-40.6697
113792907.7150,-40.6811,-23.4792,-47.7997
113893432.6170,-6.6622,0.4306,-13.0997
113993957.5200,-17.0432,-10.1296,-23.4797
114094482.4220,2.3658,9.4401,-3.9997
114195007.3240,-1.0053,6.3599,-7.4697
114295532.2270,5.9337,12.2897,-0.7797
114396057.1290,4.7027,11.1694,-1.8897
114496582.0310,5.6917,13.4992,0.2903
114597106.9340,5.9106,12.9390,0.0603
114697631.8360,6.2096,14.2687,0.3603
114798156.7380,6.1386,14.1185,0.5803
114898681.6410,6.4975,14.1283,0.9003
114999206.5430,6.0277,14.0284,0.5903
115099731.4450,6.4385,13.6388,0.9003
115200256.3480,6.6994,13.8591,0.6603
115300781.2500,6.9203,13.7495,0.6003
115401306.1520,6.6812,13.6699,0.7303
115501831.0550,6.7021,13.4702,0.0603
115602355.9570,6.9630,13.5206,0.4803
115702880.8590,7.1639,13.6010,0.1503
115803405.7620,6.8947,13.5614,0.1103
115903930.6640,6.3956,13.8317,0.2003
116004455.5660,6.7865,13.5421,0.4103
116104980.4690,6.5774,13.5325,-0.4297
116205505.3710,6.4483,14.0928,-0.2597
116306030.2730,6.3992,13.3132,0.3703
116406555.1760,6.7008,13.4936,0.0703
116507080.0780,6.6725,13.4340,0.1003
116607604.9800,6.4343,13.3744,0.4403
116708129.8830,6.6561,13.7048,0.1203
116808654.7850,7.0579,13.1352,-0.0197
116909179.6880,6.4396,13.4655,0.5703
117009704.5900,6.1214,13.7059,0.2403
117110229.4920,7.0532,13.6763,0.8903
117210754.3950,6.8649,13.6567,0.7103
117311279.2970,6.7167,13.5871,0.9403
117411804.1990,6.9385,13.6275,0.8803
117512329.1020,6.4903,13.2579,0.4403
117612854.0040,6.3920,13.7382,0.6103
117713378.9060,6.3538,13.3486,0.0103
117813903.8090,6.8239,12.8687,0.3203
117914428.7110,6.4941,13.5588,-0.1197
118014953.6130,6.1742,13.7189,-0.1197
118115478.5160,6.5144,13.3090,0.9103
118216003.4180,6.6446,13.2390,0.4503
118316528.3200,6.1847,13.6591,-0.0397
118417053.2230,6.3349,13.4492,0.4703
118517578.1250,6.3450,13.1193,0.2603
118618103.0270,6.2952,13.4394,0.1603
118718627.9300,6.1653,13.5495,-0.1097
118819152.8320,6.0655,13.4596,0.2103
118919677.7340,5.8657,13.3996,0.3903
119020202.6370,6.1658,13.5197,-0.0997
119120727.5390,6.9458,13.5398,0.4103
119221252.4410,6.2752,13.5298,0.4903
119321777.3440,6.3247,13.0699,-0.4697
119422302.2460,7.0941,13.3599,0.4203
