Frequency,North_Port_Input,South_Port_Output,DS_AFE_Input
108867187.5000,3.2170,11.3393,-8.0597
108967712.4020,3.2470,11.1094,-7.9697
109068237.3050,2.8270,11.1594,-8.2597
109168762.2070,2.9070,11.2695,-8.1697
109269287.1090,2.4170,11.1695,-8.1997
109369812.0120,2.6370,11.0996,-8.0797
109470336.9140,2.6873,11.5096,-8.2797
109570861.8160,2.2477,10.9896,-8.2197
109671386.7190,2.6782,11.3697,-7.9997
109771911.6210,2.8486,11.9197,-8.3897
109872436.5230,2.4490,10.6997,-8.0297
109972961.4260,2.5795,10.4897,-7.8997
110073486.3280,2.7899,10.7498,-8.3997
110174011.2300,2.6503,10.9598,-8.2497
110274536.1330,2.7608,11.4598,-8.3197
110375061.0350,2.9812,11.2199,-8.2197
110475585.9380,2.4516,11.1799,-8.4197
110576110.8400,2.5620,11.3199,-8.3997
110676635.7420,2.9425,11.2900,-8.6597
110777160.6450,2.7029,11.1200,-8.3797
110877685.5470,3.2638,11.4300,-8.5897
110978210.4490,2.9546,11.3401,-8.8897
111078735.3520,2.9355,11.1402,-8.6197
111179260.2540,3.1964,11.2402,-8.2797
111279785.1560,2.5072,10.8603,-8.3497
111380310.0590,2.8481,10.8703,-8.8897
111480834.9610,2.7390,10.8504,-7.9397
111581359.8630,2.5298,10.6405,-7.7797
111681884.7660,2.9707,10.8805,-8.4897
111782409.6680,2.9716,10.9506,-8.4097
111882934.5700,2.9424,10.6006,-8.6897
111983459.4730,2.7333,10.7607,-8.4797
112083984.3750,2.9842,10.2307,-8.4697
112184509.2770,2.9651,10.5808,-8.3497
112285034.1800,2.4963,11.1209,-8.6997
112385559.0820,2.7274,10.9410,-8.4697
112486083.9840,2.8086,11.0511,-7.7097
112586608.8870,2.7697,10.9912,-8.2597
112687133.7890,1.8109,11.0613,-8.3697
112787658.6910,2.3921,11.1914,-7.8697
112888183.5940,2.1732,11.0115,-8.1697
112988708.4960,1.6644,11.0716,-8.5097
113089233.3980,2.1555,11.1817,-8.7097
113189758.3010,2.0867,11.0018,-8.3397
113290283.2030,1.7679,10.8919,-8.8497
113390808.1050,2.1990,11.1920,-8.5797
113491333.0080,-0.1298,8.0021,-10.9097
113591857.9100,1.3316,9.6523,-9.6397
113692382.8120,-6.2267,1.8824,-17.3897
113792907.7150,-2.2050,5.6725,-13.3997
113893432.6170,-26.1833,-16.3473,-36.7797
113993957.5200,-13.6516,-4.7972,-24.4197
114094482.4220,-43.0899,-22.8770,-54.1497
114195007.3240,-41.5983,-22.9369,-52.5197
114295532.2270,-42.6366,-23.3767,-54.6097
114396057.1290,-43.0849,-23.1166,-54.4297
114496582.0310,-43.2532,-23.4364,-54.9397
114597106.9340,-42.9015,-23.4363,-55.0997
114697631.8360,-43.0398,-23.3161,-54.7397
114798156.7380,-42.9581,-23.6360,-54.5297
114898681.6410,-43.0964,-23.0358,-54.8297
114999206.5430,-43.2842,-22.7857,-54.9097
115099731.4450,-42.9717,-23.1555,-55.0297
115200256.3480,-42.7192,-23.1654,-55.1797
115300781.2500,-43.6167,-23.3153,-55.0097
115401306.1520,-43.6742,-23.2551,-55.0197
115501831.0550,-43.3717,-23.3750,-55.2297
115602355.9570,-43.0392,-23.4149,-55.2197
115702880.8590,-43.2467,-23.1647,-55.5297
115803405.7620,-43.6042,-23.2746,-55.3097
115903930.6640,-43.3117,-23.1445,-55.5697
116004455.5660,-43.0392,-23.1643,-55.4097
116104980.4690,-43.0967,-23.3742,-55.4997
116205505.3710,-42.9542,-23.2841,-55.7097
116306030.2730,-43.5017,-23.4339,-55.4097
116406555.1760,-43.4001,-23.5739,-55.5897
116507080.0780,-43.4587,-23.0940,-55.5597
116607604.9800,-43.4874,-23.2440,-55.4397
116708129.8830,-43.1260,-23.7341,-56.0297
116808654.7850,-43.1446,-23.4241,-55.4997
116909179.6880,-43.0933,-23.2442,-55.7497
117009704.5900,-43.5419,-23.6342,-55.7997
117110229.4920,-43.5405,-23.3543,-55.6997
117210754.3950,-43.0891,-23.1143,-55.4097
117311279.2970,-43.3078,-23.9043,-55.2897
117411804.1990,-43.3164,-23.8244,-55.6797
117512329.1020,-43.5950,-23.8344,-55.8697
117612854.0040,-43.6337,-23.9945,-55.5397
117713378.9060,-42.9724,-22.8845,-55.6697
117813903.8090,-43.0837,-23.2145,-55.7797
117914428.7110,-42.6850,-23.3944,-55.3297
118014953.6130,-42.8864,-23.3244,-55.7997
118115478.5160,-43.1477,-22.7544,-55.3697
118216003.4180,-43.0391,-22.9743,-55.4497
118316528.3200,-43.2104,-23.0143,-55.4597
118417053.2230,-43.0718,-22.8642,-55.2897
118517578.1250,-43.0931,-23.1642,-55.3997
118618103.0270,-43.1245,-23.1641,-55.5197
118718627.9300,-43.5058,-23.6941,-55.0297
118819152.8320,-43.3272,-23.2740,-55.1897
118919677.7340,-42.9785,-23.3840,-54.9997
119020202.6370,-43.0299,-23.7640,-54.8697
119120727.5390,-42.9714,-23.0338,-54.5597
119221252.4410,-43.1239,-23.2235,-54.9697
119321777.3440,-43.2365,-22.8832,-55.0997
119422302.2460,-43.1390,-23.1528,-54.6397
119522827.1480,-43.3015,-23.1625,-54.8597
119623352.0510,-43.1740,-22.9421,-55.1297
119723876.9530,-33.4565,-20.8718,-43.9497
119824401.8550,-42.8590,-23.2615,-54.5597
119924926.7580,-9.0315,-0.2511,-20.1397
120025451.6600,-17.8840,-8.9408,-29.2097
120125976.5620,-1.3965,7.1496,-11.9697
120226501.4650,-4.5090,4.3999,-14.8297
120327026.3670,1.5484,10.0002,-9.5397
120427551.2700,0.5359,8.7606,-10.4097
120528076.1720,2.1540,11.0010,-9.1697
