Frequency,North_Port_Input,South_Port_Output,DS_AFE_Input
108967712.4020,7.7097,10.5349,-5.1297
109068237.3050,7.7918,10.5549,-5.2797
109168762.2070,7.8839,10.8749,-5.7697
109269287.1090,7.9561,10.5748,-5.5497
109369812.0120,7.7882,10.3548,-5.2097
109470336.9140,7.8593,11.1247,-5.7097
109570861.8160,7.7803,10.8847,-5.6297
109671386.7190,7.2313,11.3646,-5.4797
109771911.6210,7.9322,11.3945,-5.7297
109872436.5230,7.5032,10.6445,-5.2097
109972961.4260,7.1842,11.0244,-5.1697
110073486.3280,7.1051,10.3044,-5.7697
110174011.2300,7.0761,10.6243,-5.7297
110274536.1330,7.0671,10.5542,-5.4197
110375061.0350,6.8180,10.2642,-5.6797
110475585.9380,7.4590,10.3341,-6.3397
110576110.8400,7.3200,10.5641,-5.9597
110676635.7420,7.6009,10.7140,-5.8897
110777160.6450,7.6618,10.3739,-6.0997
110877685.5470,7.4907,10.8140,-6.0297
110978210.4490,7.5794,10.8240,-5.7497
111078735.3520,7.3082,10.5241,-4.7397
111179260.2540,7.3070,10.6041,-5.3697
111279785.1560,7.2858,10.3741,-5.1097
111380310.0590,7.2546,10.6842,-4.8197
111480834.9610,7.2734,10.7242,-5.8497
111581359.8630,7.4722,10.4843,-5.6097
111681884.7660,7.5810,10.8143,-5.3197
111782409.6680,7.3298,10.8444,-5.3797
111882934.5700,7.2085,10.6944,-5.4097
111983459.4730,7.4673,10.5545,-5.6697
112083984.3750,7.4561,10.9345,-5.4997
112184509.2770,7.5048,10.9346,-5.4397
112285034.1800,7.2731,10.8148,-5.8297
112385559.0820,7.4115,10.9050,-5.6897
112486083.9840,7.4998,11.0853,-5.1297
112586608.8870,7.4982,10.6355,-5.5497
112687133.7890,7.5965,11.0257,-5.1297
112787658.6910,7.4248,11.2659,-4.8697
112888183.5940,7.1332,10.6161,-5.3597
112988708.4960,7.1615,10.7463,-5.2397
113089233.3980,6.8798,10.7766,-5.7197
113189758.3010,6.9982,10.7768,-5.5797
113290283.2030,6.7165,9.7970,-6.1297
113390808.1050,7.1748,10.4772,-5.4297
113491333.0080,4.0932,7.5074,-8.9597
113591857.9100,5.4123,8.7877,-7.6497
113692382.8120,-1.3576,1.4679,-14.5897
113792907.7150,2.2125,5.2981,-10.9497
113893432.6170,-5.8174,-2.4016,-18.4497
113993957.5200,-7.7972,-4.7314,-20.9397
114094482.4220,2.4729,6.4188,-9.9797
114195007.3240,-0.5570,3.3191,-12.8097
114295532.2270,6.3832,9.7093,-6.2897
114396057.1290,4.8933,8.0995,-7.9597
114496582.0310,7.2134,10.7798,-5.9097
114597106.9340,6.6636,10.6200,-6.0797
114697631.8360,7.3637,10.7402,-5.9497
114798156.7380,7.6139,10.7305,-5.8597
114898681.6410,7.0840,11.3007,-6.0797
114999206.5430,7.3849,10.9007,-5.8797
115099731.4450,6.8562,10.3807,-6.0297
115200256.3480,7.0575,10.9506,-6.2597
115300781.2500,6.8589,10.5005,-5.8697
115401306.1520,7.0702,10.1105,-6.2597
115501831.0550,7.2415,10.7504,-5.4297
115602355.9570,7.0129,10.7503,-5.3297
115702880.8590,7.7942,10.2503,-5.8797
115803405.7620,7.6055,10.4002,-5.7597
115903930.6640,7.6269,10.7801,-5.4897
116004455.5660,7.4882,10.4201,-5.7697
116104980.4690,7.8096,11.0300,-5.2697
116205505.3710,7.5709,10.7799,-5.2397
116306030.2730,7.2222,11.0898,-5.6897
116406555.1760,7.8337,11.0595,-5.5097
116507080.0780,7.1853,10.6092,-5.3297
116607604.9800,7.1168,10.8488,-5.8597
116708129.8830,7.2684,10.6485,-5.8197
116808654.7850,7.0899,10.6081,-5.8697
116909179.6880,6.9015,10.4677,-5.4997
117009704.5900,7.2330,10.7174,-5.2097
117110229.4920,7.1246,10.1970,-5.5397
117210754.3950,6.8161,10.3067,-5.7397
117311279.2970,7.2976,10.6263,-5.4997
117411804.1990,7.2192,10.2759,-5.7097
117512329.1020,7.7307,11.0856,-5.8197
117612854.0040,7.5623,10.7852,-5.7497
117713378.9060,7.1038,10.7749,-5.3597
117813903.8090,7.2958,11.1747,-5.4797
117914428.7110,7.4978,10.7546,-5.4497
118014953.6130,7.2798,10.7144,-5.3997
118115478.5160,7.2418,10.6542,-5.7497
118216003.4180,7.3038,10.3741,-5.7597
118316528.3200,7.3057,10.4739,-5.5397
118417053.2230,7.3777,10.6638,-5.6397
118517578.1250,7.6297,10.7836,-5.9997
118618103.0270,7.3917,10.5435,-5.9497
118718627.9300,7.0437,10.5733,-5.6297
118819152.8320,7.2657,10.4732,-5.9997
118919677.7340,7.2377,10.6330,-5.6397
119020202.6370,7.2996,10.7528,-5.6697
119120727.5390,7.2916,10.6028,-5.5097
119221252.4410,7.1835,10.4932,-5.3997
119321777.3440,6.6154,9.9437,-6.1297
119422302.2460,7.2572,10.6141,-5.8097
119522827.1480,3.0891,6.9846,-9.5397
119623352.0510,5.0310,8.9550,-7.2697
119723876.9530,-3.5671,-0.3245,-16.3497
119824401.8550,0.8148,3.9459,-12.1497
119924926.7580,-27.2034,-20.7337,-40.1197
120025451.6600,-12.2315,-8.4932,-24.9397
120125976.5620,-39.1296,-23.4728,-51.9597
120226501.4650,-38.4377,-23.6123,-51.4597
120327026.3670,-39.4358,-23.7619,-52.3297
120427551.2700,-39.2240,-23.5414,-52.2997
120528076.1720,-39.3128,-23.9908,-53.0197
120628601.0740,-39.3128,-24.1700,-52.8097
120729125.9770,-39.0627,-23.7291,-52.6897
120829650.8790,-39.0226,-23.9082,-53.0397
120930175.7810,-39.0026,-23.4874,-52.7497
121030700.6840,-38.9725,-23.4565,-52.6997
121131225.5860,-39.5724,-23.3956,-52.9397
121231750.4880,-39.3624,-23.6447,-52.8997
121332275.3910,-39.4423,-23.6739,-52.5497
121432800.2930,-39.5723,-23.2930,-52.5897
121533325.1950,-39.4022,-23.6421,-52.3697
121633850.0980,-39.3821,-24.0913,-52.3897
121734375.0000,-39.5821,-23.0704,-53.2997
121834899.9020,-39.7120,-23.4695,-52.8597
121935424.8050,-39.1731,-23.5588,-53.1897
122035949.7070,-38.8850,-23.2381,-53.5097
122136474.6090,-39.7269,-23.7074,-52.6297
122236999.5120,-39.4688,-23.3567,-52.9397
122337524.4140,-39.7607,-23.2961,-52.4397
122438049.3160,-40.0726,-23.4154,-52.6797
122538574.2190,-39.4845,-23.3347,-52.5097
122639099.1210,-39.4664,-23.2940,-52.4397
122739624.0230,-39.8083,-22.9433,-52.5397
122840148.9260,-39.3802,-22.9927,-52.5897
122940673.8280,-39.7221,-23.4920,-52.9397
123041198.7300,-39.7140,-22.9213,-52.7297
123141723.6330,-39.6859,-23.9106,-52.4797
123242248.5350,-39.7478,-23.8100,-52.4797
123342773.4380,-39.6295,-23.3598,-52.5797
123443298.3400,-39.7112,-23.6897,-52.5397
123543823.2420,-39.9029,-23.3697,-52.4697
123644348.1450,-40.1146,-23.3096,-52.4897
123744873.0470,-40.0662,-23.5195,-52.7097
123845397.9490,-39.6879,-23.3395,-52.5097
123945922.8520,-39.5296,-23.3894,-52.8797
124046447.7540,-39.9213,-23.4393,-52.7497
124146972.6560,-39.7429,-23.6393,-52.9097
124247497.5590,-39.6546,-23.4492,-52.7097
124348022.4610,-39.5163,-23.3291,-53.2497
124448547.3630,-39.7780,-23.7091,-53.0997
124549072.2660,-39.9296,-23.3090,-52.7297
124649597.1680,-39.6313,-23.0090,-53.0297
124750122.0700,-39.6909,-23.7693,-52.6597
124850646.9730,-39.8905,-23.8596,-52.7397
124951171.8750,-39.9801,-23.3100,-52.4397
125051696.7770,-39.4296,-23.4903,-52.4897
125152221.6800,-39.5592,-23.5807,-53.3597
125252746.5820,-39.7388,-23.5610,-53.0997
125353271.4840,-39.8784,-23.3913,-52.4097
125453796.3870,-39.6179,-23.1217,-53.0697
125554321.2890,-38.6275,-23.3420,-51.9697
125654846.1910,-39.4971,-23.2824,-52.1297
125755371.0940,-22.5767,-17.8727,-34.8097
125855895.9960,-37.7762,-23.2131,-50.9597
125956420.8980,-2.0058,1.1666,-14.4897
126056945.8010,-9.6151,-6.4937,-21.7597
126157470.7030,4.4569,7.8259,-8.2697
126257995.6050,2.0089,5.4756,-10.6097
126358520.5080,6.8208,9.6553,-6.3197
126459045.4100,6.0528,9.1450,-6.9797
126559570.3120,6.9748,10.5446,-5.9497
126660095.2150,6.9268,10.2843,-5.9397
126760620.1170,7.5988,10.4540,-5.7097
126861145.0200,7.4307,10.4036,-5.7697
126961669.9220,7.3427,10.5233,-5.6997
127062194.8240,7.3047,10.7330,-6.0697
127162719.7270,7.1867,11.2627,-5.6897
127263244.6290,7.4287,10.7623,-5.7197
127363769.5310,6.8806,10.8120,-5.7797
127464294.4340,6.8522,11.0818,-5.4697
127564819.3360,6.7930,10.4917,-6.1897
127665344.2380,6.9539,10.7416,-5.9597
127765869.1410,7.1847,10.7615,-6.2197
127866394.0430,6.6455,10.2814,-6.3297
127966918.9450,7.0464,10.4513,-6.0797
128067443.8480,7.2572,10.5412,-6.0497
128167968.7500,7.2281,10.8511,-5.5597
128268493.6520,7.2389,10.7210,-5.6697
128369018.5550,7.1697,10.8709,-5.6097
128469543.4570,7.2006,11.0008,-5.8297
128570068.3590,7.0214,11.0607,-5.8497
128670593.2620,7.4123,10.8806,-5.8497
128771118.1640,7.0231,10.6905,-5.7997
128871643.0660,6.7424,11.0905,-5.6897
128972167.9690,7.0107,10.8906,-5.7097
129072692.8710,7.1390,10.5707,-6.1397
129173217.7730,7.3573,11.1308,-5.5597
129273742.6760,7.2455,10.9109,-5.3497
129374267.5780,7.2638,10.8210,-5.8597
129474792.4800,7.2721,10.6211,-5.7197
129575317.3830,7.4204,11.0012,-5.8897
129675842.2850,7.3086,10.9613,-5.7997
129776367.1880,6.9869,10.8014,-6.0797
129876892.0900,6.9352,11.0915,-5.8497
129977416.9920,7.3235,10.5116,-6.0197
130077941.8950,7.3717,10.5317,-6.0297
130178466.7970,7.8100,11.0618,-6.0697
130278991.6990,7.5883,10.8519,-5.9597
130379516.6020,7.1667,10.5619,-5.5297
130480041.5040,7.5850,10.7120,-5.7297
130580566.4060,7.2034,11.0721,-6.0697
130681091.3090,7.3117,10.9721,-5.7197
130781616.2110,7.0401,10.8922,-5.8097
130882141.1130,7.1584,11.1323,-6.0997
130982666.0160,7.0468,11.3123,-5.8397
131083190.9180,6.8551,11.0424,-6.1197
131183715.8200,6.8235,10.8924,-5.7597
131284240.7230,6.9818,11.3825,-5.4397
131384765.6250,5.9802,9.4226,-6.3397
131485290.5270,6.4585,10.0126,-5.7197
131585815.4300,2.4069,5.9627,-10.3297
131686340.3320,4.6480,8.3027,-7.9097
131786865.2340,-7.7909,-4.6574,-20.6497
131887390.1370,-1.2997,1.9826,-14.2697
131987915.0390,-0.9786,3.2826,-13.0597
132088439.9410,-7.1275,-2.4775,-18.8797
132188964.8440,4.9437,8.8025,-8.5097
132289489.7460,2.6948,6.9825,-10.1897
132390014.6480,6.7560,10.5124,-5.6197
132490539.5510,6.0971,9.7824,-6.6897
132591064.4530,7.0282,10.7524,-5.2597
132691589.3550,6.9394,10.4223,-5.1197
132792114.2580,7.0705,10.8123,-6.1797
132892639.1600,7.2817,10.7922,-6.0297
132993164.0620,6.8132,10.8422,-5.4797
133093688.9650,6.6665,10.8222,-5.8697
133194213.8670,7.1198,10.8922,-5.6897
133294738.7700,7.1531,10.8122,-5.6797
133395263.6720,7.5064,10.9122,-6.2897
133495788.5740,7.2497,10.9423,-5.9297
133596313.4770,7.1030,10.8623,-5.8897
133696838.3790,7.3063,10.5823,-6.2697
133797363.2810,7.1997,10.7623,-5.8597
133897888.1840,7.2430,10.7223,-5.4997
133998413.0860,6.7763,11.2523,-6.1897
134098937.9880,7.0296,10.8123,-6.1197
134199462.8910,7.5129,10.9523,-5.6097
134299987.7930,7.2962,11.0523,-5.9397
134400512.6950,7.3092,11.2024,-5.8197
134501037.5980,7.4417,11.1325,-5.7297
134601562.5000,7.2143,10.9826,-5.7697
134702087.4020,7.2468,11.0527,-5.8197
134802612.3050,7.7394,10.6729,-5.4997
134903137.2070,7.6519,10.9130,-5.5497
135003662.1090,7.2745,10.7731,-5.9097
135104187.0120,7.2270,10.4832,-5.5197
135204711.9140,7.4596,11.0634,-5.6297
135305236.8160,7.5921,11.1535,-5.8797
135405761.7190,7.1347,11.2436,-5.5997
135506286.6210,7.1672,11.1237,-5.4097
135606811.5230,6.2198,10.9939,-5.8597
135707336.4260,6.4323,11.2640,-5.8997
135807861.3280,6.7237,10.8242,-6.1897
135908386.2300,6.4742,10.8944,-5.8797
136008911.1330,7.0048,10.5345,-5.5897
136109436.0350,6.9953,10.4747,-5.7297
