Frequency,North_Port_Input,South_Port_Output,DS_AFE_Input
108867187.5000,4.9246,11.3717,-5.6297
108967712.4020,4.5341,11.5718,-5.8697
109068237.3050,4.6535,10.9418,-5.1997
109168762.2070,4.5330,11.3219,-5.3597
109269287.1090,4.4625,11.0320,-5.4197
109369812.0120,4.8620,10.8520,-5.1497
109470336.9140,4.4413,11.3120,-5.5897
109570861.8160,4.2905,11.2521,-5.4897
109671386.7190,4.8297,12.0720,-5.4897
109771911.6210,4.7789,11.8320,-5.3797
109872436.5230,4.2181,11.2620,-5.1697
109972961.4260,4.3273,11.3120,-5.4697
110073486.3280,4.4765,11.3320,-5.4297
110174011.2300,4.1457,11.4120,-4.8897
110274536.1330,4.1149,11.4620,-5.8597
110375061.0350,4.3941,11.3220,-5.7797
110475585.9380,4.1333,11.3120,-5.5097
110576110.8400,4.3625,11.6420,-5.6997
110676635.7420,4.3017,11.0620,-5.7397
110777160.6450,4.1909,10.9320,-5.4197
110877685.5470,4.5505,10.9919,-5.7097
110978210.4490,4.4501,10.8618,-5.6497
111078735.3520,4.2796,11.2717,-5.8397
111179260.2540,4.3492,11.1116,-5.8697
111279785.1560,4.6588,11.6315,-5.6297
111380310.0590,4.6684,11.5214,-5.8197
111480834.9610,4.4979,11.5413,-5.9197
111581359.8630,4.4875,11.6912,-5.8797
111681884.7660,4.8371,11.4111,-5.5997
111782409.6680,4.5467,11.4310,-5.7797
111882934.5700,5.0762,10.9909,-5.7497
111983459.4730,4.9658,11.3808,-5.5297
112083984.3750,4.3654,11.0107,-5.7797
112184509.2770,4.6450,11.0506,-5.8497
112285034.1800,3.7349,11.1007,-5.3797
112385559.0820,4.4147,11.1708,-5.7597
112486083.9840,4.1746,10.9908,-5.7097
112586608.8870,3.9444,10.6609,-5.4197
112687133.7890,4.5143,11.1610,-5.9697
112787658.6910,4.2042,11.1610,-5.8797
112888183.5940,4.7040,11.5311,-5.4797
112988708.4960,4.4239,11.6412,-5.8997
113089233.3980,4.6337,11.2312,-5.2297
113189758.3010,5.1336,11.3413,-5.5897
113290283.2030,3.6535,10.9714,-6.0697
113390808.1050,4.1633,11.2614,-5.2397
113491333.0080,1.0132,8.6115,-8.6797
113591857.9100,2.7729,9.9916,-7.2197
113692382.8120,-5.1576,1.7718,-14.6197
113792907.7150,-1.4381,6.0020,-10.8597
113893432.6170,-24.4386,-16.7278,-34.3897
113993957.5200,-11.9492,-5.2476,-21.4997
114094482.4220,-39.9697,-23.1074,-51.5397
114195007.3240,-39.5902,-23.1672,-49.9197
114295532.2270,-40.8507,-22.5770,-52.1997
114396057.1290,-40.2012,-22.7868,-51.8697
114496582.0310,-40.6617,-22.9966,-51.9597
114597106.9340,-40.7122,-22.6664,-51.7497
114697631.8360,-40.9227,-23.5362,-52.0797
114798156.7380,-40.5932,-23.3060,-52.3797
114898681.6410,-40.9438,-23.3058,-51.7997
114999206.5430,-40.6840,-23.6956,-51.6897
115099731.4450,-41.1340,-23.5954,-52.0597
115200256.3480,-41.2441,-23.1252,-51.8797
115300781.2500,-40.7442,-22.5749,-51.9197
115401306.1520,-40.6042,-23.2747,-52.0297
115501831.0550,-40.4143,-22.6945,-52.1697
115602355.9570,-40.6643,-22.6343,-52.0597
115702880.8590,-41.0444,-23.0041,-52.4597
115803405.7620,-40.4745,-23.0039,-52.1697
115903930.6640,-40.9545,-23.1636,-52.3197
116004455.5660,-41.1346,-23.2234,-52.3397
116104980.4690,-40.7246,-23.0732,-52.2397
116205505.3710,-41.1247,-22.8130,-52.2097
116306030.2730,-41.1248,-23.2228,-52.4597
116406555.1760,-40.8634,-23.0625,-52.0697
116507080.0780,-41.0416,-22.8822,-51.9097
116607604.9800,-41.0399,-23.1319,-51.9897
116708129.8830,-40.6682,-22.7216,-52.9197
116808654.7850,-40.9564,-22.6813,-52.3697
116909179.6880,-41.3047,-22.8310,-51.9197
117009704.5900,-40.7329,-22.8707,-52.3297
117110229.4920,-41.0212,-23.6104,-52.0597
117210754.3950,-41.2195,-23.2101,-51.6897
117311279.2970,-40.9677,-23.1398,-52.2997
117411804.1990,-41.1160,-23.3895,-52.7097
117512329.1020,-40.7443,-23.5292,-52.4797
117612854.0040,-40.5425,-23.2389,-51.8997
117713378.9060,-41.0608,-23.2086,-52.4297
117813903.8090,-40.7488,-23.3083,-52.3597
117914428.7110,-40.5168,-22.9181,-52.8697
118014953.6130,-40.8849,-22.9279,-52.9497
118115478.5160,-40.6529,-23.2176,-52.5097
118216003.4180,-40.3410,-23.0674,-52.4497
118316528.3200,-41.0890,-23.1671,-52.3497
118417053.2230,-41.1170,-23.5069,-52.4897
118517578.1250,-41.3951,-22.9567,-52.3597
118618103.0270,-41.0631,-22.9764,-52.0497
118718627.9300,-41.3111,-23.1662,-52.0597
118819152.8320,-41.1392,-23.2259,-52.6597
118919677.7340,-41.3172,-22.6357,-52.5097
119020202.6370,-41.4452,-23.0055,-52.1297
119120727.5390,-40.8339,-22.5252,-51.9897
119221252.4410,-41.0646,-22.6550,-52.1897
119321777.3440,-40.6954,-23.3848,-51.7597
119422302.2460,-40.8662,-22.6946,-51.6997
119522827.1480,-40.6270,-23.1544,-51.7797
119623352.0510,-40.7878,-23.1842,-51.8497
119723876.9530,-31.0686,-20.5240,-41.1097
119824401.8550,-40.3494,-23.0838,-51.3397
119924926.7580,-7.0602,0.0264,-17.1497
120025451.6600,-15.9010,-8.8434,-26.0697
120125976.5620,0.4682,7.7068,-9.1097
120226501.4650,-2.3726,4.9670,-12.0397
120327026.3670,3.1166,10.6172,-6.6197
120427551.2700,2.2758,9.6274,-7.5397
120528076.1720,3.6242,10.6976,-6.1797
120628601.0740,3.6713,10.7078,-6.1797
120729125.9770,3.7284,10.7380,-6.1697
120829650.8790,3.4856,10.8282,-6.4197
120930175.7810,4.1827,11.2984,-6.2997
121030700.6840,4.0998,11.2687,-6.1097
121131225.5860,4.1370,10.2989,-6.0297
121231750.4880,4.2041,10.6491,-6.1297
121332275.3910,4.0212,10.7593,-6.1297
121432800.2930,4.0784,10.7595,-6.0097
121533325.1950,3.9455,11.4498,-5.9097
121633850.0980,4.2626,10.9700,-5.9897
121734375.0000,3.6298,11.0602,-5.8197
121834899.9020,3.8969,11.1704,-6.3397
121935424.8050,3.3253,10.6808,-5.7997
122035949.7070,3.5445,10.5912,-5.3397
122136474.6090,4.0937,10.2816,-5.6597
122236999.5120,3.5329,10.6521,-5.8797
122337524.4140,3.4621,10.4825,-5.5997
122438049.3160,3.7613,10.4029,-5.5797
122538574.2190,3.4706,11.0133,-5.9297
122639099.1210,3.5598,10.6438,-5.7697
122739624.0230,3.4390,10.3242,-6.3797
122840148.9260,3.2182,10.7047,-6.0597
122940673.8280,3.6774,10.6251,-6.1697
123041198.7300,3.5166,10.4955,-6.1597
123141723.6330,4.0158,10.7559,-6.0497
123242248.5350,3.9850,10.7764,-6.2797
123342773.4380,4.2268,11.0669,-6.2397
123443298.3400,3.7993,10.8973,-6.1297
123543823.2420,3.7418,10.7878,-6.0897
123644348.1450,4.1342,10.9983,-6.2297
123744873.0470,3.8667,11.0088,-5.7797
123845397.9490,3.7692,10.6293,-5.9097
123945922.8520,3.8616,10.7598,-6.0697
124046447.7540,4.0441,10.8303,-5.8697
124146972.6560,3.5266,10.7108,-6.5497
124247497.5590,3.3491,10.5012,-6.0597
124348022.4610,4.0715,10.5817,-6.0897
124448547.3630,3.9540,10.7022,-6.4797
124549072.2660,3.9265,10.7327,-5.7997
124649597.1680,3.8689,10.4332,-6.0097
124750122.0700,4.0718,11.4033,-6.4397
124850646.9730,3.9446,10.9934,-6.0797
124951171.8750,3.5475,10.4934,-5.9897
125051696.7770,3.8903,11.0135,-6.3297
125152221.6800,3.7332,10.8736,-5.8097
