Frequency,North_Port_Input,South_Port_Output,DS_AFE_Input
108766662.5980,-38.2035,-22.5101,-44.5497
108867187.5000,-37.1752,-22.3197,-44.2797
108967712.4020,-37.1768,-22.4993,-44.0697
109068237.3050,-37.8385,-22.1589,-45.0397
109168762.2070,-37.3802,-22.2085,-44.9297
109269287.1090,-38.6218,-22.2781,-45.0197
109369812.0120,-38.4635,-22.2676,-45.1897
109470336.9140,-37.5952,-22.3973,-44.0697
109570861.8160,-38.2168,-22.4370,-44.4297
109671386.7190,-37.8485,-21.7067,-43.8597
109771911.6210,-37.1802,-22.2463,-43.7597
109872436.5230,-37.9719,-22.5460,-44.6997
109972961.4260,-37.8135,-21.8157,-44.5397
110073486.3280,-38.6052,-22.6654,-44.7197
110174011.2300,-38.5369,-22.6450,-44.8297
110274536.1330,-37.5486,-22.1747,-43.6497
110375061.0350,-38.4803,-22.5544,-44.4597
110475585.9380,-37.2019,-22.0541,-43.8297
110576110.8400,-37.2536,-22.0837,-43.6797
110676635.7420,-38.0353,-22.2534,-44.6397
110777160.6450,-37.3769,-22.3431,-44.3097
110877685.5470,-38.1974,-22.4531,-44.1597
110978210.4490,-38.0578,-22.5330,-44.5497
111078735.3520,-37.8383,-22.3230,-43.2997
111179260.2540,-38.0787,-22.2329,-43.7797
111279785.1560,-37.7591,-22.5029,-43.6797
111380310.0590,-37.9196,-22.4128,-43.2997
111480834.9610,-37.8100,-22.3428,-44.5397
111581359.8630,-37.3505,-22.1027,-44.0097
111681884.7660,-38.2409,-22.4426,-44.7197
111782409.6680,-38.2813,-22.3826,-44.7597
111882934.5700,-37.6818,-23.1326,-43.6097
111983459.4730,-37.8822,-22.9325,-44.1997
112083984.3750,-37.6527,-22.4825,-43.2597
112184509.2770,-37.3928,-22.8524,-43.0897
112285034.1800,-38.1319,-22.7326,-44.4797
112385559.0820,-37.8909,-22.3827,-43.9197
112486083.9840,-38.4900,-22.7029,-44.7097
112586608.8870,-38.3491,-22.7931,-44.8497
112687133.7890,-37.5282,-22.0632,-44.0197
112787658.6910,-38.1772,-22.0634,-44.2297
112888183.5940,-37.2563,-22.0935,-43.1197
112988708.4960,-36.9454,-22.4537,-43.6097
113089233.3980,-38.4245,-22.2938,-43.8897
113189758.3010,-38.0035,-21.9940,-43.3797
113290283.2030,-39.1026,-22.3441,-44.3897
113390808.1050,-38.8417,-22.6443,-44.3897
113491333.0080,-37.8908,-22.0645,-43.7797
113591857.9100,-38.7201,-22.0445,-44.3497
113692382.8120,-37.5198,-22.8245,-43.2497
113792907.7150,-37.4895,-22.5346,-43.2197
113893432.6170,-38.0492,-22.3346,-44.5797
113993957.5200,-37.5889,-22.4446,-44.0397
114094482.4220,-38.9786,-22.5546,-44.4797
114195007.3240,-38.6583,-22.2846,-44.5297
114295532.2270,-38.1380,-22.9346,-43.0597
114396057.1290,-38.6077,-22.9046,-44.0797
114496582.0310,-37.4774,-22.3946,-43.7797
114597106.9340,-37.5971,-22.3846,-43.0097
114697631.8360,-38.1668,-22.7146,-44.1497
114798156.7380,-37.8865,-22.7646,-43.5797
114898681.6410,-38.2862,-22.5046,-45.3397
114999206.5430,-38.4559,-22.6945,-45.3097
115099731.4450,-37.2355,-21.9042,-44.0397
115200256.3480,-37.7151,-22.3040,-44.6197
115300781.2500,-37.0447,-22.3838,-43.6097
115401306.1520,-36.8943,-22.1035,-43.4797
115501831.0550,-38.3739,-22.9933,-44.5197
115602355.9570,-37.8136,-22.5531,-43.8697
115702880.8590,-38.7632,-22.5128,-44.8797
115803405.7620,-38.6428,-22.9426,-44.9497
115903930.6640,-37.7424,-22.3624,-43.6097
116004455.5660,-38.4720,-22.5021,-44.1897
116104980.4690,-37.0417,-22.2419,-43.4597
116205505.3710,-37.0913,-22.2016,-43.5197
116306030.2730,-38.2109,-22.6214,-44.6297
116406555.1760,-37.4689,-22.2511,-43.9897
116507080.0780,-38.8565,-23.1709,-45.0097
116607604.9800,-38.9841,-23.2306,-45.0997
116708129.8830,-37.9917,-22.1203,-43.5997
116808654.7850,-38.2893,-22.6900,-44.3997
116909179.6880,-37.1469,-22.3697,-43.2097
117009704.5900,-37.1745,-22.0694,-43.0297
117110229.4920,-38.2021,-22.2992,-45.3797
117210754.3950,-37.6098,-22.2489,-44.3397
117311279.2970,-38.6374,-23.1886,-45.7797
117411804.1990,-38.9350,-23.0583,-45.8997
117512329.1020,-37.3226,-22.5480,-43.6097
117612854.0040,-37.8302,-22.7477,-44.7197
117713378.9060,-36.9578,-22.1875,-43.3097
117813903.8090,-36.9943,-22.1275,-43.2097
117914428.7110,-38.5508,-21.9375,-44.6897
118014953.6130,-37.5873,-21.9475,-43.7397
118115478.5160,-38.7138,-22.9875,-44.8397
118216003.4180,-39.3503,-22.5575,-45.1097
118316528.3200,-37.3468,-22.6675,-43.3597
118417053.2230,-38.0433,-22.9675,-44.0297
118517578.1250,-37.4999,-21.9775,-43.8397
118618103.0270,-37.0064,-22.2075,-43.4797
118718627.9300,-39.1129,-22.5975,-44.5397
118819152.8320,-37.8894,-22.2575,-44.0297
118919677.7340,-38.8859,-22.9476,-45.4697
119020202.6370,-39.3924,-22.6276,-45.3997
119120727.5390,-36.9591,-22.0076,-43.5997
119221252.4410,-38.0465,-23.0580,-44.5597
119321777.3440,-36.8540,-21.6783,-42.8897
119422302.2460,-36.4914,-21.6286,-42.8497
119522827.1480,-37.8088,-22.5590,-44.7697
119623352.0510,-37.0363,-22.0993,-43.8197
119723876.9530,-38.2637,-22.6996,-44.6997
119824401.8550,-38.7511,-22.7499,-45.2497
119924926.7580,-36.7586,-21.8003,-43.0697
120025451.6600,-37.4660,-22.2306,-43.9197
120125976.5620,-36.8934,-21.6509,-43.2897
120226501.4650,-36.4509,-21.5113,-42.9497
120327026.3670,-38.7683,-21.9216,-45.1197
120427551.2700,-37.5957,-21.8619,-43.9897
120528076.1720,-38.4041,-22.5223,-45.4797
120628601.0740,-38.8136,-22.1727,-45.8197
120729125.9770,-36.7632,-21.9631,-43.0897
120829650.8790,-37.6427,-22.3935,-44.3997
120930175.7810,-36.5423,-21.1438,-42.6897
121030700.6840,-36.5118,-21.0842,-42.3097
121131225.5860,-38.4114,-22.4146,-44.6397
121231750.4880,-37.3110,-21.7650,-43.3597
121332275.3910,-38.5105,-22.6154,-45.4197
121432800.2930,-39.0901,-22.9458,-45.4397
121533325.1950,-36.2396,-21.2462,-43.0297
121633850.0980,-37.3892,-21.9165,-44.5697
121734375.0000,-36.5788,-21.2469,-42.7597
121834899.9020,-36.0383,-21.1073,-42.6297
121935424.8050,-38.2987,-22.2876,-44.5497
122035949.7070,-37.3196,-21.5977,-43.7597
122136474.6090,-38.9704,-22.9679,-45.6497
122236999.5120,-39.6313,-23.0080,-45.4297
122337524.4140,-36.2922,-21.7382,-43.1097
122438049.3160,-37.2831,-22.2483,-44.6197
122538574.2190,-35.8440,-21.0985,-42.3997
122639099.1210,-35.6948,-21.1787,-42.2897
122739624.0230,-37.8757,-22.0388,-44.5797
122840148.9260,-36.8366,-21.3190,-43.0897
122940673.8280,-38.7375,-22.5691,-44.8297
123041198.7300,-38.7084,-22.5793,-45.4297
123141723.6330,-36.3293,-21.3894,-42.7597
123242248.5350,-37.4701,-22.0296,-43.6297
123342773.4380,-35.8605,-21.3294,-41.9397
123443298.3400,-35.7408,-21.2391,-42.0197
123543823.2420,-38.0111,-22.2688,-44.1297
123644348.1450,-36.5814,-21.8885,-42.8297
