Frequency(MHz),Power(dBmV/100kHz)_20260203_093443
139.5981,-52.48
139.6981,-52.48
139.7981,-52.76
139.8981,-51.82
139.9981,-50.78
140.0981,-50.69
140.1981,-51.82
140.2981,-52.38
140.3981,-50.03
140.4981,-49.84
140.5981,-50.5
140.6981,-51.54
140.7981,-51.91
140.8981,-51.54
140.9981,-52.01
141.0981,-52.48
141.1981,-51.54
141.2981,-51.91
141.3981,-52.57
141.4981,-53.23
141.5981,-52.48
141.6981,-51.91
141.7981,-51.82
141.8981,-50.5
141.9981,-49.47
142.0981,-49.84
142.1981,-50.78
142.2981,-51.72
142.3981,-51.82
142.4981,-51.16
142.5981,-51.63
142.6981,-52.19
142.7981,-53.04
142.8981,-51.91
142.9981,-51.54
143.0981,-52.29
143.1981,-52.38
143.2981,-51.82
143.3981,-50.59
143.4981,-51.25
143.5981,-51.63
143.6981,-50.88
143.7981,-51.63
143.8981,-53.14
143.9981,-52.48
144.0981,-51.63
144.1981,-52.57
144.2981,-53.23
144.3981,-53.98
144.4981,-51.91
144.5981,-53.04
144.6981,-50.31
144.7981,-50.78
144.8981,-52.67
144.9981,-52.1
145.0981,-51.16
145.1981,-52.57
145.2981,-53.42
145.3981,-53.23
145.4981,-52.48
145.5981,-52.19
145.6981,-52.57
145.7981,-53.89
145.8981,-52.1
145.9981,-50.12
146.0981,-51.63
146.1981,-52.76
146.2981,-52.95
146.3981,-53.04
146.4981,-52.29
146.5981,-52.38
146.6981,-52.01
146.7981,-53.14
146.8981,-53.98
146.9981,-53.7
147.0981,-52.29
147.1981,-51.35
147.2981,-51.35
147.3981,-52.38
147.4981,-51.07
147.5981,-52.19
147.6981,-50.59
147.7981,-50.88
147.8981,-51.16
147.9981,-52.85
148.0981,-52.57
148.1981,-52.48
148.2981,-52.38
148.3981,-51.91
148.4981,-52.85
148.5981,-52.29
148.6981,-52.48
148.7981,-52.85
148.8981,-52.57
148.9981,-51.91
149.0981,-51.35
149.1981,-50.97
149.2981,-51.25
149.3981,-52.1
149.4981,-52.67
149.5981,-52.01
149.6981,-51.44
149.7981,-52.1
149.8981,-52.57
149.9981,-51.07
150.0981,-50.59
150.1981,-49.94
150.2981,-49.18
150.3981,-51.63
150.4981,-52.1
150.5981,-52.57
150.6981,-51.91
150.7981,-52.19
150.8981,-51.54
150.9981,-51.63
151.0981,-52.19
151.1981,-52.48
151.2981,-52.67
151.3981,-51.82
151.4981,-52.01
151.5981,-52.95
151.6981,-53.51
151.7981,-52.95
151.8981,-52.76
151.9981,-52.76
152.0981,-51.91
152.1981,-52.57
152.2981,-52.1
152.3981,-51.35
152.4981,-50.69
152.5981,-50.31
152.6981,-51.44
152.7981,-51.54
152.8981,-51.72
152.9981,-51.25
153.0981,-51.16
153.1981,-50.59
153.2981,-52.01
153.3981,-52.19
153.4981,-51.54
153.5981,-52.29
153.6981,-52.48
153.7981,-50.97
153.8981,-51.07
153.9981,-51.35
154.0981,-51.07
154.1981,-51.72
154.2981,-52.57
154.3981,-52.67
154.4981,-52.38
154.5981,-50.69
154.6981,-51.44
154.7981,-51.54
154.8981,-52.1
154.9981,-51.35
155.0981,-51.91
155.1981,-52.19
155.2981,-53.42
155.3981,-53.51
155.4981,-52.67
155.5981,-52.48
155.6981,-52.38
155.7981,-51.63
155.8981,-51.07
155.9981,-52.38
156.0981,-53.42
156.1981,-52.19
156.2981,-51.44
156.3981,-51.82
156.4981,-51.35
156.5981,-50.22
156.6981,-50.12
156.7981,-52.85
156.8981,-53.23
156.9981,-52.76
157.0981,-52.29
157.1981,-52.19
157.2981,-53.23
157.3981,-54.17
157.4981,-53.32
157.5981,-51.07
157.6981,-50.88
157.7981,-50.69
157.8981,-49.65
157.9981,-50.97
158.0981,-52.76
158.1981,-52.19
158.2981,-52.01
158.3981,-52.85
158.4981,-51.54
158.5981,-51.07
158.6981,-52.67
158.7981,-53.14
158.8981,-52.76
158.9981,-52.01
159.0981,-51.91
159.1981,-52.1
159.2981,-52.1
159.3981,-51.72
159.4981,-51.63
159.5981,-51.63
159.6981,-51.63
159.7981,-51.25
159.8981,-52.57
159.9981,-52.85
160.0981,-52.95
160.1981,-53.04
160.2981,-51.72
160.3981,-51.82
160.4981,-50.97
160.5981,-50.97
160.6981,-51.72
160.7981,-52.01
160.8981,-50.69
160.9981,-50.97
161.0981,-53.04
161.1981,-53.14
161.2981,-51.72
161.3981,-52.01
161.4981,-53.14
161.5981,-52.57
161.6981,-51.82
161.7981,-51.72
161.8981,-52.67
161.9981,-53.89
162.0981,-53.51
162.1981,-52.57
162.2981,-51.35
162.3981,-52.01
162.4981,-52.29
162.5981,-52.85
162.6981,-53.04
162.7981,-52.1
162.8981,-51.63
162.9981,-50.22
163.0981,-50.78
163.1981,-52.29
163.2981,-51.54
163.3981,-51.63
163.4981,-52.29
163.5981,-53.51
163.6981,-51.63
163.7981,-50.97
163.8981,-51.35
163.9981,-50.78
164.0981,-50.5
164.1981,-52.01
164.2981,-52.19
164.3981,-52.01
164.4981,-51.54
164.5981,-50.59
164.6981,-51.54
164.7981,-52.1
164.8981,-52.19
164.9981,-52.1
165.0981,-53.79
165.1981,-53.7
165.2981,-52.19
165.3981,-53.61
165.4981,-53.98
165.5981,-53.89
165.6981,-54.17
165.7981,-53.7
165.8981,-53.23
165.9981,-52.95
166.0981,-53.32
166.1981,-51.63
166.2981,-50.88
166.3981,-52.38
166.4981,-52.57
166.5981,-52.85
166.6981,-52.67
166.7981,-52.19
166.8981,-51.35
166.9981,-52.19
167.0981,-52.01
167.1981,-52.38
167.2981,-50.59
167.3981,-50.97
167.4981,-52.1
167.5981,-51.82
167.6981,-51.25
167.7981,-50.78
167.8981,-50.97
167.9981,-51.72
168.0981,-53.14
168.1981,-53.04
168.2981,-51.63
168.3981,-51.54
168.4981,-52.67
