Distance(ft),ch0_dB_20260203_064235,ch1_dB_20260203_064235,ch2_dB_20260203_064235,ch3_dB_20260203_064235,ch4_dB_20260203_064235,ch5_dB_20260203_064235
514.677218372385,-44.384287447025265,-40.725710367268064,-41.81802632387058,-43.128777111383954,-42.65498360205658,-12.857793819588636
519.1526724451884,-47.04242728173249,-42.13116011225647,-43.679951985009865,-44.87889124551604,-42.81867094244226,-22.07284495908016
523.6281265179916,-49.041282885652734,-43.98608441190639,-44.675375526018755,-44.80624675080101,-43.57231985500788,-24.575166070342206
528.1035805907949,-50.083533083924166,-44.44291428755597,-45.13896066224994,-45.19963141733845,-43.933964516960025,-27.567812222322367
532.5790346635982,-50.994896129963564,-44.81925568155453,-45.091783783160544,-46.245151005028866,-44.60435458937284,-30.214818934325145
537.0544887364017,-46.67504983143236,-46.698193590472016,-49.176262793192876,-43.787315388117314,-44.41040764779386,-31.04240780250416
541.5299428092051,-54.24060342997212,-46.41200501040029,-47.090630536266076,-46.6866331532891,-44.5284494088809,-32.09447027422414
546.0053968820084,-53.619036635498546,-46.57960159085383,-47.18252863239407,-46.636637626215105,-44.782596817458014,-33.34315833370822
550.4808509548117,-53.947786489431905,-47.031384097644334,-47.603439122052635,-46.73177333424662,-44.56190846322845,-35.29406768385454
554.9563050276151,-47.31224092574132,-50.12060722569533,-49.017784921571426,-48.1373364271483,-46.8143199605603,-36.125476445966555
559.4317591004184,-51.60771025755709,-47.0256331937647,-48.44407829100661,-48.682044096973755,-44.910868295354085,
563.9072131732219,-51.55110036881752,-48.44062605327427,-48.74329966806169,-49.09919400184048,-46.206765309478286,
568.3826672460251,-51.24963260605504,-47.92011314432153,-49.24211298848011,-48.42972085507573,-45.81874771741472,
572.8581213188285,-49.03323428010093,-52.025617974251944,-47.871130859707414,-51.387233613368466,-46.22781683223469,
577.3335753916318,-51.540099592382134,-49.770837295527215,-50.86084089014601,-50.76871830299115,-47.14244360522342,
581.8090294644351,-52.77220595965089,-49.21196447748059,-51.42235105641446,-50.46023769692981,-46.33163587859557,
586.2844835372384,-54.35983505506907,-55.023668447402024,-51.70527867631952,-47.500779681188476,-45.72253352041056,
590.7599376100419,-52.38406978700464,-49.65538909543095,-51.9953495197358,-50.354696658469095,-45.963844457356586,
