Frequency(MHz),Power(dBmV/100kHz)_20260203_093443
140.9981,-1.54
141.0981,-1.82
141.1981,-1.35
141.2981,-2.1
141.3981,-1.63
141.4981,-0.13
141.5981,0.25
141.6981,1.19
141.7981,0.25
141.8981,-0.03
141.9981,0.53
142.0981,1.19
142.1981,0.91
142.2981,1.0
142.3981,0.53
142.4981,0.44
142.5981,-0.13
142.6981,-0.69
142.7981,-0.03
142.8981,0.34
142.9981,0.81
143.0981,0.91
143.1981,1.0
143.2981,0.81
143.3981,-0.98
143.4981,-2.39
143.5981,-5.3
143.6981,-8.79
143.7981,-11.14
143.8981,-11.33
143.9981,-6.72
144.0981,-4.08
144.1981,-3.33
144.2981,-1.35
144.3981,0.06
144.4981,0.25
144.5981,-0.03
144.6981,-0.22
144.7981,0.34
144.8981,0.25
144.9981,-0.51
145.0981,-1.16
145.1981,-1.54
145.2981,-2.2
145.3981,-1.63
145.4981,-1.45
145.5981,-1.73
145.6981,-0.98
145.7981,-1.07
145.8981,0.25
145.9981,0.44
146.0981,0.72
146.1981,-0.03
146.2981,1.38
146.3981,0.44
146.4981,-0.6
146.5981,-0.22
146.6981,0.53
146.7981,0.34
146.8981,0.25
146.9981,-0.13
147.0981,-0.22
147.1981,-0.03
147.2981,-0.98
147.3981,0.25
147.4981,0.53
147.5981,1.19
147.6981,0.34
147.7981,0.15
147.8981,0.53
147.9981,-0.6
148.0981,-1.26
148.1981,-1.35
148.2981,-2.58
148.3981,-1.63
148.4981,-0.98
148.5981,-1.63
148.6981,-1.35
148.7981,-1.35
148.8981,-1.63
148.9981,-1.16
149.0981,-1.73
149.1981,-1.45
149.2981,-2.29
149.3981,-2.48
149.4981,-4.27
149.5981,-6.81
149.6981,-10.95
149.7981,-12.83
149.8981,-8.13
149.9981,-4.36
150.0981,-2.01
150.1981,-1.16
150.2981,1.0
150.3981,-0.03
150.4981,-0.22
150.5981,1.19
150.6981,0.44
150.7981,1.0
150.8981,-0.13
150.9981,0.91
151.0981,0.34
151.1981,0.53
151.2981,0.44
151.3981,0.72
151.4981,-0.03
151.5981,-0.98
151.6981,-1.92
151.7981,-3.14
151.8981,-2.58
151.9981,-3.05
152.0981,-3.8
152.1981,-2.29
152.2981,-1.92
152.3981,-1.16
152.4981,0.06
152.5981,-0.41
152.6981,0.53
152.7981,0.81
152.8981,1.28
152.9981,1.09
153.0981,0.91
153.1981,0.15
153.2981,-0.13
153.3981,-0.32
153.4981,-0.69
153.5981,-1.16
153.6981,-0.22
153.7981,-0.41
153.8981,-0.51
153.9981,-0.88
154.0981,-0.69
154.1981,-0.13
154.2981,-0.32
154.3981,-0.41
154.4981,-0.98
154.5981,-0.88
154.6981,-0.98
154.7981,-1.16
154.8981,-1.16
154.9981,-1.07
155.0981,-0.98
155.1981,-0.32
155.2981,-1.07
155.3981,-2.29
155.4981,-4.74
155.5981,-7.75
155.6981,-12.74
155.7981,-12.74
155.8981,-7.85
155.9981,-5.96
156.0981,-2.76
156.1981,-1.63
156.2981,-1.07
156.3981,-1.07
156.4981,-0.88
156.5981,-0.69
156.6981,-1.82
156.7981,-0.32
156.8981,-0.51
156.9981,-0.6
157.0981,-0.6
157.1981,-0.22
157.2981,-0.03
157.3981,-0.13
157.4981,0.62
157.5981,0.25
157.6981,0.34
157.7981,0.25
157.8981,-0.32
157.9981,-0.03
158.0981,-0.88
158.1981,-0.98
158.2981,-2.58
158.3981,-3.7
158.4981,-3.99
158.5981,-2.01
158.6981,-2.58
158.7981,-3.61
158.8981,-2.2
158.9981,-1.45
159.0981,-0.13
159.1981,-0.22
159.2981,-0.51
159.3981,0.91
159.4981,0.72
159.5981,-0.69
159.6981,-0.32
159.7981,0.15
159.8981,-0.32
159.9981,-0.22
160.0981,-0.98
160.1981,0.44
160.2981,-0.22
160.3981,-0.32
160.4981,0.44
160.5981,1.09
160.6981,0.44
160.7981,-0.22
160.8981,0.34
160.9981,0.06
161.0981,-0.88
161.1981,-1.45
161.2981,-3.42
161.3981,-5.49
161.4981,-6.9
161.5981,-12.08
161.6981,-15.56
161.7981,-12.83
161.8981,-8.32
161.9981,-5.3
162.0981,-4.08
162.1981,-2.48
162.2981,-2.01
162.3981,-2.58
162.4981,-1.92
162.5981,-2.86
162.6981,-2.1
162.7981,-1.26
162.8981,-2.67
162.9981,-2.1
163.0981,-2.29
163.1981,-1.26
163.2981,-0.6
163.3981,-0.41
163.4981,-0.69
163.5981,-0.41
163.6981,-0.41
163.7981,-0.22
163.8981,1.38
163.9981,0.72
164.0981,-0.13
164.1981,0.81
164.2981,1.0
164.3981,1.57
164.4981,1.0
164.5981,0.44
164.6981,1.0
164.7981,0.06
164.8981,-0.6
