Frequency(MHz),Power(dBmV/100kHz)_20260203_093443
142.5981,21.92
142.6981,22.02
142.7981,22.3
142.8981,22.21
142.9981,22.3
143.0981,22.49
143.1981,21.55
143.2981,22.02
143.3981,20.32
143.4981,18.82
143.5981,16.94
143.6981,12.42
143.7981,11.01
143.8981,10.54
143.9981,15.05
144.0981,18.72
144.1981,19.67
144.2981,21.92
144.3981,22.21
144.4981,22.21
144.5981,21.83
144.6981,21.64
144.7981,22.3
144.8981,22.58
144.9981,21.92
145.0981,22.58
145.1981,21.92
145.2981,21.74
145.3981,21.64
145.4981,21.27
145.5981,21.36
145.6981,20.89
145.7981,21.74
145.8981,21.92
145.9981,22.58
146.0981,21.64
146.1981,21.27
146.2981,21.27
146.3981,22.02
146.4981,22.49
146.5981,22.02
146.6981,21.08
146.7981,22.49
146.8981,22.3
146.9981,22.68
147.0981,21.17
147.1981,22.3
147.2981,21.83
147.3981,21.83
147.4981,21.92
147.5981,21.64
147.6981,21.92
147.7981,21.74
147.8981,19.95
147.9981,22.02
148.0981,22.68
148.1981,22.3
148.2981,22.02
148.3981,21.64
148.4981,21.74
148.5981,22.21
148.6981,20.98
148.7981,22.11
148.8981,21.27
148.9981,20.98
149.0981,22.77
149.1981,22.49
149.2981,21.08
149.3981,20.04
149.4981,18.16
149.5981,16.0
149.6981,10.72
149.7981,8.37
149.8981,13.55
149.9981,16.65
150.0981,19.1
150.1981,19.48
150.2981,21.17
150.3981,21.92
150.4981,22.02
150.5981,21.83
150.6981,21.08
150.7981,21.92
150.8981,21.55
150.9981,21.74
151.0981,21.74
151.1981,21.74
151.2981,21.36
151.3981,21.83
151.4981,22.49
151.5981,22.11
151.6981,21.45
151.7981,22.4
151.8981,21.64
151.9981,22.68
152.0981,22.02
152.1981,22.3
152.2981,21.92
152.3981,22.3
152.4981,22.58
152.5981,22.68
152.6981,22.02
152.7981,22.11
152.8981,22.49
152.9981,22.68
153.0981,22.11
153.1981,22.49
153.2981,22.21
153.3981,22.02
153.4981,21.92
153.5981,21.27
153.6981,22.3
153.7981,21.83
153.8981,22.02
153.9981,22.21
154.0981,22.11
154.1981,21.36
154.2981,21.36
154.3981,21.08
154.4981,21.74
154.5981,22.49
154.6981,22.21
154.7981,22.49
154.8981,22.02
154.9981,22.49
155.0981,21.55
155.1981,21.83
155.2981,21.64
155.3981,20.23
155.4981,17.69
155.5981,13.83
155.6981,8.75
155.7981,9.31
155.8981,14.21
155.9981,16.94
156.0981,19.01
156.1981,20.51
156.2981,22.3
156.3981,21.64
156.4981,21.55
156.5981,21.92
156.6981,21.36
156.7981,21.45
156.8981,21.55
156.9981,21.64
157.0981,22.49
157.1981,22.77
157.2981,21.64
157.3981,22.21
157.4981,22.87
157.5981,22.49
157.6981,21.92
157.7981,21.83
157.8981,22.3
157.9981,21.64
158.0981,21.92
158.1981,22.49
158.2981,22.68
158.3981,21.74
158.4981,22.02
158.5981,21.36
158.6981,21.64
158.7981,22.4
158.8981,22.58
158.9981,22.11
159.0981,22.3
159.1981,22.21
159.2981,21.83
159.3981,22.3
159.4981,21.83
159.5981,22.21
159.6981,22.02
159.7981,21.74
159.8981,22.3
159.9981,21.64
160.0981,21.27
160.1981,21.64
160.2981,22.21
160.3981,22.58
160.4981,22.77
160.5981,22.21
160.6981,22.11
160.7981,21.83
160.8981,21.74
160.9981,21.83
161.0981,22.11
161.1981,21.74
161.2981,20.04
161.3981,18.63
161.4981,15.62
161.5981,13.08
161.6981,8.56
161.7981,10.54
161.8981,15.9
161.9981,18.54
162.0981,20.04
162.1981,20.89
162.2981,22.3
162.3981,21.83
162.4981,22.87
162.5981,22.02
162.6981,21.83
162.7981,22.4
162.8981,22.11
162.9981,22.58
163.0981,22.3
163.1981,21.64
163.2981,21.83
163.3981,22.3
163.4981,21.74
163.5981,22.11
163.6981,22.58
163.7981,22.77
163.8981,21.92
163.9981,22.3
164.0981,22.49
164.1981,21.36
164.2981,22.4
164.3981,22.58
164.4981,22.11
164.5981,21.27
164.6981,22.77
164.7981,21.74
164.8981,21.36
164.9981,22.4
165.0981,21.45
165.1981,22.02
165.2981,22.02
165.3981,21.92
165.4981,22.02
165.5981,22.68
165.6981,23.34
165.7981,21.27
165.8981,21.64
165.9981,22.3
166.0981,21.92
166.1981,21.45
166.2981,21.74
166.3981,22.68
166.4981,22.58
166.5981,22.87
166.6981,20.98
166.7981,21.17
166.8981,22.4
166.9981,22.02
167.0981,21.74
167.1981,21.45
167.2981,20.7
167.3981,18.25
167.4981,14.96
167.5981,11.57
167.6981,8.65
167.7981,12.23
167.8981,16.47
167.9981,18.54
168.0981,19.95
168.1981,20.98
168.2981,21.45
168.3981,21.27
168.4981,22.21
168.5981,21.55
168.6981,21.74
168.7981,21.17
168.8981,22.58
168.9981,22.3
169.0981,21.64
169.1981,21.74
169.2981,22.4
169.3981,22.11
169.4981,22.77
169.5981,22.49
169.6981,22.4
169.7981,21.27
169.8981,21.45
169.9981,21.74
170.0981,22.4
170.1981,22.11
170.2981,22.02
170.3981,21.92
170.4981,22.11
170.5981,22.11
170.6981,22.11
170.7981,22.49
170.8981,22.49
170.9981,21.92
171.0981,21.55
171.1981,21.64
171.2981,22.4
171.3981,22.11
171.4981,22.02
171.5981,21.64
171.6981,22.21
171.7981,22.02
171.8981,22.4
171.9981,21.74
172.0981,22.49
172.1981,21.92
172.2981,21.64
172.3981,21.64
172.4981,21.74
172.5981,22.02
172.6981,21.74
172.7981,21.27
172.8981,21.64
172.9981,22.11
173.0981,21.74
173.1981,21.08
173.2981,18.82
173.3981,17.6
173.4981,14.11
173.5981,9.78
173.6981,9.69
173.7981,14.02
173.8981,17.31
173.9981,19.38
174.0981,21.08
174.1981,21.92
174.2981,21.64
174.3981,21.55
174.4981,21.27
174.5981,21.55
174.6981,22.02
174.7981,22.58
174.8981,22.4
174.9981,21.64
175.0981,21.55
175.1981,22.11
175.2981,22.68
175.3981,21.64
175.4981,21.36
175.5981,22.4
175.6981,22.4
175.7981,22.3
175.8981,22.4
175.9981,21.74
176.0981,23.34
176.1981,22.02
176.2981,22.49
176.3981,22.58
176.4981,22.96
176.5981,22.02
176.6981,21.45
176.7981,22.21
176.8981,22.96
176.9981,22.21
177.0981,22.21
177.1981,21.74
177.2981,22.68
177.3981,22.68
177.4981,21.55
177.5981,21.92
177.6981,21.55
177.7981,22.68
177.8981,21.45
177.9981,21.64
178.0981,21.64
178.1981,21.92
178.2981,21.64
178.3981,22.11
178.4981,22.3
178.5981,22.02
178.6981,22.02
178.7981,21.64
178.8981,22.49
178.9981,22.02
179.0981,21.92
179.1981,20.51
179.2981,19.29
179.3981,17.5
179.4981,13.92
179.5981,9.22
179.6981,11.48
179.7981,16.0
179.8981,18.25
179.9981,20.61
180.0981,21.64
180.1981,22.11
180.2981,22.3
180.3981,22.11
180.4981,21.74
180.5981,22.02
180.6981,22.4
180.7981,21.83
180.8981,21.92
180.9981,20.89
181.0981,22.4
181.1981,23.24
181.2981,22.21
181.3981,21.83
181.4981,21.92
181.5981,22.02
181.6981,22.4
181.7981,22.02
181.8981,22.02
181.9981,21.36
182.0981,21.45
182.1981,21.74
182.2981,22.02
182.3981,21.83
182.4981,22.58
182.5981,22.49
182.6981,22.49
182.7981,22.4
182.8981,22.21
182.9981,22.4
183.0981,22.49
183.1981,21.74
183.2981,22.4
183.3981,22.11
183.4981,22.21
183.5981,21.08
183.6981,21.55
183.7981,21.74
183.8981,21.64
183.9981,21.74
184.0981,22.4
184.1981,22.68
184.2981,22.4
184.3981,21.92
184.4981,21.92
184.5981,21.74
184.6981,22.87
184.7981,22.02
184.8981,22.49
184.9981,21.92
185.0981,21.83
185.1981,20.04
185.2981,18.54
185.3981,15.43
185.4981,11.1
185.5981,7.9
185.6981,12.23
185.7981,16.28
185.8981,19.57
185.9981,20.51
186.0981,21.92
186.1981,22.4
186.2981,22.3
186.3981,22.3
186.4981,21.83
186.5981,22.49
186.6981,22.58
186.7981,22.49
186.8981,22.02
186.9981,23.05
187.0981,22.4
187.1981,22.21
187.2981,22.3
187.3981,22.4
187.4981,22.02
187.5981,21.45
187.6981,21.55
187.7981,22.4
187.8981,22.11
187.9981,21.27
188.0981,21.64
188.1981,21.92
188.2981,20.98
188.3981,22.11
188.4981,22.3
188.5981,22.21
188.6981,21.45
188.7981,21.45
188.8981,21.55
188.9981,22.21
189.0981,21.74
189.1981,21.92
189.2981,21.08
189.3981,22.11
189.4981,22.11
189.5981,22.3
189.6981,22.58
189.7981,21.64
189.8981,21.92
189.9981,22.3
190.0981,23.34
190.1981,21.74
190.2981,22.21
190.3981,22.96
190.4981,22.4
190.5981,22.87
190.6981,22.4
190.7981,22.11
190.8981,22.58
190.9981,21.27
191.0981,21.08
191.1981,19.76
191.2981,18.07
191.3981,14.87
191.4981,9.69
191.5981,8.75
