Distance(ft),ch0_dB_20260203_093444,ch1_dB_20260203_093444,ch2_dB_20260203_093444,ch3_dB_20260203_093444,ch4_dB_20260203_093444,ch5_dB_20260203_093444
62.65635701924687,-32.90040859095291,-38.695882695032516,-35.46186346116615,-33.63613913453751,-28.630627347459054,-31.52898997826351
67.1318110920502,-32.76143264453312,-36.03336276338957,-37.73213381354641,-37.46634532319231,-30.127953978509936,-32.57921911543353
71.60726516485356,-30.310325498954185,-36.387235652341055,-38.94433207889997,-35.106740555332856,-29.201081883617015,-34.02235991223614
76.08271923765689,-32.062542023780786,-35.00120997596315,-34.132195059189215,-34.44089206024107,-29.214738315845924,-4.09250331437017
80.55817331046025,-31.085337005176562,-31.928407599008896,-37.65874904088471,-32.41703763325199,-28.8612083433239,-10.586143436622603
85.0336273832636,-29.5649454086822,-31.598247616585347,-36.01632994308262,-33.01921561821642,-27.16187175886767,-15.817681573759767
89.50908145606694,-27.71927996048634,-28.167410641010836,-33.35365859457521,-31.411643597651544,-26.086954398027565,-18.656406664848156
93.98453552887027,-24.308954923450674,-25.241940787763543,-29.868409990839293,-27.92763812907843,-22.72898857915616,-23.162217483222392
98.45998960167363,-15.817681573759767,-16.16735025564433,-20.463516472271422,-18.136095988668476,-13.969710739021906,-24.210694965543894
102.93544367447699,-19.976249803628622,-23.652187909577584,-36.055003656574144,-25.725569426398426,-18.815577737304135,-24.74201322107433
107.41089774728032,-18.656406664848156,-18.707939967232118,-22.332283725294854,-18.06406232975657,-17.206314302050004,-24.88868701475855
111.8863518200837,-29.746929156895394,-29.02029109908583,-21.42904795646789,-22.818780529960094,-26.10289663953326,-25.973455724323436
116.36180589288703,-33.451465717093896,-36.83175391614529,-24.789884981767877,-26.141592731202856,-32.39520424223757,-29.52052416452496
120.83725996569036,-22.47565480521083,-19.483813162269584,-16.97739779379944,-19.702687697392328,-28.658595533186517,-29.64990731475659
125.31271403849372,-10.586143436622603,-7.3442423025974275,-29.590127063287987,-10.266101137714092,-16.232498303545984,-30.310325498954185
129.78816811129707,-29.071068548748027,-21.481391456231208,-24.96728954009281,-37.15797263880741,-28.950943323184553,-7.3442423025974275
134.26362218410043,-33.47493785977598,-26.75803534470663,-29.425234054518313,-38.60980671640742,-31.291952153386756,-9.688565170580956
138.7390762569038,-34.90055085322146,-28.394252361482508,-32.211580835529666,-44.22431401142226,-34.165270179801354,-16.16735025564433
143.2145303297071,-34.78939210307557,-29.987026842762297,-36.25202534918613,-47.92660085219862,-36.299381183891214,-18.707939967232118
147.68998440251045,-36.12035732300615,-31.846739986573432,-39.59878537199885,-41.0836847791828,-39.18865215263829,-24.033679464475153
152.1654384753138,-36.797266497977354,-30.088929876266597,-37.329827894952366,-38.260218583946354,-30.73756286076189,-24.54721426848105
156.64089254811717,-24.88868701475855,-24.54721426848105,-24.42839555481956,-28.908368891318954,-35.89318817323605,-26.200368591397165
161.11634662092047,-40.06148455091706,-35.12711150796574,-31.68765018557029,-40.3201748778735,-36.38713477423361,-28.23244629695546
165.59180069372383,-42.627869582073885,-35.21233530765255,-36.65007842737274,-50.67906668438681,-36.413472665286534,-29.26511307664648
170.06725476652724,-39.04089007122665,-35.46392325938672,-35.36775196464582,-41.39141647160764,-35.0764453499868,-29.553755469279537
174.5427088393305,-31.373983895502825,-29.553755469279537,-30.35378056405248,-40.39122022443733,-36.2629109836689,-32.418262393485065
179.0181629121339,-54.743317786401555,-33.51176217682457,-34.57371940636302,-38.19190174695774,-30.989076153103202,-33.75362489162181
183.4936169849372,-44.04739069880713,-29.26511307664648,-28.125051289381148,-29.026052258254108,-23.88562630277962,-9.742816939139473
187.96907105774056,-23.162217483222392,-33.95551395946545,-21.72257632080628,-21.088228493937784,-17.924539048096445,-16.97739779379944
192.44452513054392,-31.21388740000791,-33.358995206511025,-39.349907315222545,-37.351709847949344,-33.91973893908037,-20.463516472271422
196.91997920334728,-40.63808381624631,-39.75801807945341,-45.721726826174056,-58.77348821804061,-42.93313321774053,-21.42904795646789
201.39543327615064,-41.577540146717865,-33.75362489162181,-43.190525640215796,-50.70693397915858,-52.8116896040764,-21.72257632080628
205.870887348954,-43.69957645864493,-39.023996841100825,-45.84969304668875,-56.10809861813287,-55.04388677593962,-24.42839555481956
210.34634142175736,-50.35454266382886,-38.87681216415465,-45.797904490219466,-50.05365443559607,-50.40603063924655,-24.96728954009281
214.82179549456072,-42.420839690501964,-39.10084692451937,-42.46310957665013,-45.358107971520134,-46.53300409866788,-29.61524995396845
219.29724956736402,-45.839021968477994,-37.974620927026535,-38.431284494233026,-40.3402941301855,-38.88565081201024,-30.35378056405248
223.77270364016732,-40.542896691074674,-34.422927657603196,-34.161449460551204,-32.546313181385145,-35.25154813715957,-30.682464096436355
228.24815771297074,-41.58228287803617,-41.03648763008427,-46.53768891326409,-45.14330213079557,-44.47993314284428,-31.844348461849673
232.72361178577404,-38.22054294913057,-43.93946948389117,-57.367922197746836,-46.25710491494054,-45.87624853299878,-33.3558032386307
237.1990658585774,-29.64990731475659,-39.22179763771109,-34.60941027734075,-35.987684861561206,-39.57836500546529,4.0808289023553375
241.67451993138076,-42.44920129799151,-40.31790986962904,-42.591879656423465,-46.8481419763787,-41.727997478968774,-14.372323932720938
246.14997400418412,-40.04210297178445,-38.233076398945606,-54.07598496941387,-46.098583269610636,-51.565761275192784,-15.072435093898429
250.62542807698742,-33.5080170477051,-34.206487067891125,-37.16027527563318,-41.68079969778948,-45.904220344149174,-20.741004292009283
255.10088214979083,-38.99060227462016,-36.60670469622862,-43.071130235983865,-42.49610751816352,-49.734366018709636,-22.621843448151587
259.5763362225942,-25.973455724323436,-26.200368591397165,-29.61524995396845,-32.209363385241836,-36.28010800564303,-23.25154825723175
264.0517902953975,-26.648164917385593,-33.76717684945568,-33.38419518673889,-38.011305673507906,-39.97441659084361,-23.689556505724436
268.52724436820085,-32.581197287362514,-39.16901202237644,-38.69748018174966,-44.403233265871506,-41.752594251847725,-25.05232461853751
273.00269844100416,-29.52052416452496,-32.418262393485065,-33.3558032386307,-38.13003067430421,-37.321402517651165,-29.42345970491455
