Frequency(MHz),Power(dBmV/100kHz)_20260203_084000
139.9981,1.72
140.0981,-0.53
140.1981,-4.11
140.2981,-3.92
140.3981,-0.72
140.4981,1.44
140.5981,1.07
140.6981,-0.72
140.7981,-1.95
140.8981,-3.36
140.9981,0.5
141.0981,2.57
141.1981,2.95
141.2981,1.16
141.3981,-1.01
141.4981,-5.9
141.5981,-4.86
141.6981,-0.44
141.7981,2.48
141.8981,1.44
141.9981,0.22
142.0981,-2.13
142.1981,-4.77
142.2981,-1.95
142.3981,0.12
142.4981,0.69
142.5981,0.31
142.6981,-1.48
142.7981,-4.2
142.8981,-2.13
142.9981,0.5
143.0981,2.38
143.1981,2.19
143.2981,1.44
143.3981,-3.55
143.4981,-11.26
143.5981,-8.35
143.6981,-7.88
143.7981,-10.6
143.8981,-8.44
143.9981,-6.18
144.0981,-7.03
144.1981,-6.09
144.2981,-0.06
144.3981,1.82
144.4981,2.19
144.5981,0.69
144.6981,-2.89
144.7981,-4.58
144.8981,-0.91
144.9981,1.91
145.0981,2.29
145.1981,2.29
145.2981,0.12
145.3981,-4.02
145.4981,-6.28
145.5981,-0.72
145.6981,1.63
145.7981,2.85
145.8981,1.54
145.9981,-0.25
146.0981,-4.2
146.1981,-2.04
146.2981,0.5
146.3981,2.1
146.4981,1.35
146.5981,-1.57
146.6981,-5.43
146.7981,-3.73
146.8981,-0.35
146.9981,2.1
147.0981,2.57
147.1981,1.82
147.2981,-0.63
147.3981,-4.77
147.4981,-2.89
147.5981,-0.06
147.6981,1.72
147.7981,1.72
147.8981,-0.82
147.9981,-3.36
148.0981,-5.33
148.1981,0.03
148.2981,1.54
148.3981,2.29
148.4981,1.44
148.5981,-2.23
148.6981,-6.28
148.7981,-2.98
148.8981,1.35
148.9981,2.85
149.0981,2.76
149.1981,1.25
149.2981,-2.98
149.3981,-7.69
149.4981,-6.18
149.5981,-5.9
149.6981,-8.53
149.7981,-11.64
149.8981,-10.23
149.9981,-9.48
150.0981,-5.05
150.1981,-1.1
150.2981,1.63
150.3981,1.54
150.4981,-0.25
150.5981,-3.64
150.6981,-5.71
150.7981,-0.82
150.8981,0.88
150.9981,2.29
151.0981,2.48
151.1981,-0.06
151.2981,-4.58
151.3981,-4.3
151.4981,-0.53
151.5981,2.1
151.6981,1.63
151.7981,0.12
151.8981,-1.95
151.9981,-4.2
152.0981,-0.72
152.1981,2.67
152.2981,2.57
152.3981,1.35
152.4981,-2.42
152.5981,-5.99
152.6981,-3.55
152.7981,0.31
152.8981,2.1
152.9981,2.76
153.0981,0.88
153.1981,-1.76
153.2981,-5.05
153.3981,-2.32
153.4981,0.69
153.5981,1.35
153.6981,1.35
153.7981,-0.63
153.8981,-4.39
153.9981,-3.26
154.0981,0.59
154.1981,2.19
154.2981,1.54
154.3981,0.5
154.4981,-2.13
154.5981,-7.97
154.6981,-1.85
154.7981,1.25
154.8981,1.72
154.9981,2.01
155.0981,0.31
155.1981,-4.11
155.2981,-5.62
155.3981,-2.6
155.4981,-3.45
155.5981,-6.37
155.6981,-11.92
155.7981,-15.31
155.8981,-13.24
155.9981,-5.9
156.0981,-0.91
156.1981,1.82
156.2981,2.1
156.3981,0.22
156.4981,-4.96
156.5981,-6.37
156.6981,-0.82
156.7981,2.1
156.8981,2.48
156.9981,2.38
157.0981,-0.25
157.1981,-4.2
157.2981,-3.73
157.3981,0.97
157.4981,2.67
157.5981,1.16
157.6981,0.31
157.7981,-6.18
157.8981,-4.77
157.9981,-0.06
158.0981,2.67
158.1981,3.42
158.2981,1.72
158.3981,-2.04
158.4981,-6.84
158.5981,-4.3
158.6981,-0.25
158.7981,2.1
158.8981,1.72
158.9981,-0.35
159.0981,-2.23
159.1981,-4.3
159.2981,-2.04
159.3981,1.54
159.4981,1.72
159.5981,0.88
159.6981,-3.36
159.7981,-7.59
159.8981,-2.13
159.9981,1.72
160.0981,2.95
160.1981,2.19
160.2981,0.69
160.3981,-3.26
160.4981,-6.65
160.5981,-1.76
160.6981,0.88
160.7981,2.1
160.8981,1.54
160.9981,-1.57
161.0981,-5.99
161.1981,-3.08
161.2981,-1.1
161.3981,-0.82
161.4981,-3.45
161.5981,-9.1
161.6981,-18.89
161.7981,-17.29
