Frequency(MHz),Power(dBmV/100kHz)_20260203_084000
139.5981,-57.02
139.6981,-54.77
139.7981,-53.35
139.8981,-52.98
139.9981,-51.94
140.0981,-53.07
140.1981,-54.11
140.2981,-55.89
140.3981,-54.67
140.4981,-53.45
140.5981,-54.48
140.6981,-54.11
140.7981,-54.48
140.8981,-53.92
140.9981,-52.88
141.0981,-53.17
141.1981,-51.75
141.2981,-51.19
141.3981,-53.35
141.4981,-54.48
141.5981,-54.67
141.6981,-52.32
141.7981,-52.32
141.8981,-52.04
141.9981,-51.94
142.0981,-53.82
142.1981,-55.42
142.2981,-54.29
142.3981,-53.07
142.4981,-52.22
142.5981,-52.22
142.6981,-53.64
142.7981,-56.37
142.8981,-54.29
142.9981,-52.51
143.0981,-51.75
143.1981,-51.75
143.2981,-52.69
143.3981,-52.98
143.4981,-54.67
143.5981,-54.01
143.6981,-52.51
143.7981,-51.75
143.8981,-51.66
143.9981,-53.64
144.0981,-53.82
144.1981,-54.77
144.2981,-53.64
144.3981,-51.47
144.4981,-52.13
144.5981,-53.07
144.6981,-53.82
144.7981,-54.01
144.8981,-53.92
144.9981,-51.85
145.0981,-51.94
145.1981,-53.54
145.2981,-54.2
145.3981,-54.67
145.4981,-56.08
145.5981,-53.82
145.6981,-52.98
145.7981,-51.66
145.8981,-53.17
145.9981,-53.17
146.0981,-53.64
146.1981,-52.88
146.2981,-53.45
146.3981,-53.73
146.4981,-53.45
146.5981,-53.82
146.6981,-54.86
146.7981,-55.52
146.8981,-54.48
146.9981,-52.13
147.0981,-50.81
147.1981,-50.91
147.2981,-52.88
147.3981,-53.45
147.4981,-53.92
147.5981,-53.64
147.6981,-52.69
147.7981,-53.35
147.8981,-53.64
147.9981,-55.61
148.0981,-56.18
148.1981,-54.01
148.2981,-52.22
148.3981,-52.13
148.4981,-52.41
148.5981,-54.11
148.6981,-56.74
148.7981,-54.95
148.8981,-51.94
148.9981,-49.97
149.0981,-50.53
149.1981,-52.04
149.2981,-53.54
149.3981,-54.11
149.4981,-52.41
149.5981,-51.94
149.6981,-50.72
149.7981,-51.57
149.8981,-53.92
149.9981,-54.95
150.0981,-52.98
150.1981,-53.35
150.2981,-54.29
150.3981,-52.22
150.4981,-52.22
150.5981,-55.14
150.6981,-56.08
150.7981,-53.92
150.8981,-51.75
150.9981,-51.28
151.0981,-52.51
151.1981,-54.39
151.2981,-54.95
151.3981,-55.89
151.4981,-54.01
151.5981,-52.32
151.6981,-52.22
151.7981,-52.79
151.8981,-54.2
151.9981,-54.67
152.0981,-53.82
152.1981,-52.41
152.2981,-51.38
152.3981,-51.47
152.4981,-53.54
152.5981,-53.64
152.6981,-53.35
152.7981,-52.13
152.8981,-51.57
152.9981,-50.15
153.0981,-51.57
153.1981,-54.29
153.2981,-56.37
153.3981,-55.33
153.4981,-52.88
153.5981,-51.75
153.6981,-53.45
153.7981,-54.39
153.8981,-54.77
153.9981,-55.8
154.0981,-52.51
154.1981,-51.94
154.2981,-52.13
154.3981,-53.64
154.4981,-55.89
154.5981,-57.02
154.6981,-55.24
154.7981,-54.48
154.8981,-53.26
154.9981,-52.41
155.0981,-53.07
155.1981,-54.58
155.2981,-55.42
155.3981,-54.11
155.4981,-53.07
155.5981,-53.07
155.6981,-52.41
155.7981,-54.29
155.8981,-55.24
155.9981,-54.29
156.0981,-52.69
156.1981,-51.38
156.2981,-51.57
156.3981,-52.32
156.4981,-55.61
156.5981,-55.33
156.6981,-54.01
156.7981,-52.04
156.8981,-51.47
156.9981,-53.82
157.0981,-55.05
157.1981,-55.24
157.2981,-55.05
157.3981,-52.32
157.4981,-51.09
157.5981,-52.32
157.6981,-53.92
157.7981,-54.39
157.8981,-56.18
157.9981,-53.92
158.0981,-51.75
158.1981,-52.51
158.2981,-51.94
158.3981,-54.01
158.4981,-55.71
158.5981,-54.39
158.6981,-53.45
158.7981,-52.6
158.8981,-52.69
158.9981,-53.54
159.0981,-54.86
159.1981,-55.52
159.2981,-56.27
159.3981,-53.26
159.4981,-52.51
159.5981,-54.39
159.6981,-56.08
159.7981,-56.46
159.8981,-54.2
159.9981,-52.13
160.0981,-52.88
160.1981,-54.29
160.2981,-54.67
160.3981,-55.89
160.4981,-56.93
160.5981,-55.61
160.6981,-52.6
160.7981,-52.51
160.8981,-51.66
160.9981,-52.13
161.0981,-53.64
161.1981,-54.77
161.2981,-53.35
161.3981,-52.51
161.4981,-52.51
161.5981,-53.64
161.6981,-56.08
161.7981,-55.24
161.8981,-53.07
161.9981,-52.51
162.0981,-52.88
162.1981,-51.57
162.2981,-52.51
162.3981,-54.39
162.4981,-55.24
162.5981,-54.29
162.6981,-53.07
162.7981,-52.6
162.8981,-54.11
162.9981,-54.29
163.0981,-54.01
163.1981,-53.35
163.2981,-52.41
163.3981,-53.54
163.4981,-53.45
163.5981,-54.11
163.6981,-55.99
163.7981,-55.05
163.8981,-51.94
163.9981,-51.28
164.0981,-52.51
164.1981,-53.64
164.2981,-53.54
164.3981,-55.71
164.4981,-55.14
164.5981,-52.69
164.6981,-52.04
164.7981,-52.79
164.8981,-53.73
164.9981,-55.33
165.0981,-54.48
165.1981,-53.35
165.2981,-52.04
165.3981,-50.91
165.4981,-52.13
165.5981,-53.82
165.6981,-55.24
165.7981,-54.67
165.8981,-54.58
165.9981,-53.64
166.0981,-54.11
166.1981,-52.88
166.2981,-54.86
166.3981,-54.95
166.4981,-54.11
166.5981,-52.04
166.6981,-52.32
166.7981,-55.42
166.8981,-56.46
166.9981,-56.65
167.0981,-53.82
167.1981,-52.41
167.2981,-51.75
167.3981,-51.75
167.4981,-54.01
167.5981,-56.27
167.6981,-56.37
167.7981,-54.29
167.8981,-52.41
167.9981,-52.41
168.0981,-53.07
168.1981,-54.29
168.2981,-55.99
168.3981,-53.54
168.4981,-51.47
168.5981,-50.72
168.6981,-51.09
168.7981,-53.26
168.8981,-54.58
168.9981,-55.33
169.0981,-52.41
169.1981,-51.57
169.2981,-51.38
169.3981,-51.66
169.4981,-55.05
169.5981,-54.95
169.6981,-55.52
169.7981,-54.48
169.8981,-52.6
169.9981,-51.47
170.0981,-53.07
170.1981,-55.89
170.2981,-55.99
170.3981,-53.26
170.4981,-52.6
170.5981,-53.26
170.6981,-52.69
170.7981,-53.26
170.8981,-54.2
170.9981,-54.39
171.0981,-51.85
171.1981,-50.44
171.2981,-51.94
171.3981,-52.79
171.4981,-54.01
171.5981,-54.48
171.6981,-53.92
171.7981,-52.22
171.8981,-51.28
171.9981,-51.94
172.0981,-53.92
172.1981,-55.71
172.2981,-54.2
172.3981,-51.94
172.4981,-51.09
172.5981,-51.47
172.6981,-51.19
172.7981,-53.73
172.8981,-55.05
172.9981,-52.69
173.0981,-50.91
173.1981,-50.91
173.2981,-52.51
173.3981,-54.39
173.4981,-56.18
173.5981,-55.89
173.6981,-55.05
173.7981,-52.88
173.8981,-52.13
173.9981,-52.6
174.0981,-55.14
174.1981,-55.89
174.2981,-53.73
174.3981,-51.28
174.4981,-51.09
174.5981,-51.19
174.6981,-54.58
174.7981,-55.99
174.8981,-53.82
174.9981,-51.85
175.0981,-50.62
175.1981,-50.25
175.2981,-51.85
175.3981,-54.11
175.4981,-55.71
175.5981,-54.58
175.6981,-52.04
175.7981,-51.85
175.8981,-52.88
175.9981,-53.35
176.0981,-53.82
176.1981,-53.64
176.2981,-51.75
176.3981,-51.28
176.4981,-52.13
176.5981,-52.79
176.6981,-54.67
176.7981,-55.52
176.8981,-54.39
176.9981,-52.13
177.0981,-51.38
177.1981,-50.15
177.2981,-53.07
177.3981,-56.65
177.4981,-56.65
177.5981,-55.42
177.6981,-54.39
177.7981,-53.82
177.8981,-53.73
177.9981,-55.05
178.0981,-55.99
178.1981,-54.77
178.2981,-52.98
178.3981,-51.57
178.4981,-51.94
178.5981,-53.82
178.6981,-55.71
178.7981,-55.42
178.8981,-52.41
178.9981,-52.04
179.0981,-52.22
179.1981,-52.79
179.2981,-54.11
179.3981,-56.27
179.4981,-55.52
179.5981,-52.69
179.6981,-52.69
179.7981,-52.41
179.8981,-53.73
179.9981,-54.67
180.0981,-55.61
180.1981,-53.54
180.2981,-52.88
180.3981,-51.94
180.4981,-51.75
180.5981,-54.58
180.6981,-56.37
180.7981,-54.58
180.8981,-53.45
180.9981,-52.32
181.0981,-51.0
181.1981,-53.07
181.2981,-55.42
181.3981,-55.71
181.4981,-53.35
181.5981,-52.13
181.6981,-53.07
181.7981,-54.95
181.8981,-55.33
181.9981,-56.08
182.0981,-55.33
182.1981,-52.79
182.2981,-51.38
182.3981,-52.04
182.4981,-53.26
182.5981,-54.86
182.6981,-54.95
182.7981,-55.61
182.8981,-54.01
182.9981,-52.51
183.0981,-53.35
183.1981,-54.39
183.2981,-54.67
183.3981,-54.86
183.4981,-53.64
183.5981,-54.48
183.6981,-52.88
183.7981,-53.73
183.8981,-56.37
183.9981,-55.99
184.0981,-52.51
184.1981,-50.72
184.2981,-51.38
184.3981,-51.66
184.4981,-53.45
184.5981,-55.89
184.6981,-56.18
184.7981,-54.11
184.8981,-51.85
184.9981,-51.85
185.0981,-52.69
185.1981,-54.77
185.2981,-55.24
185.3981,-54.11
185.4981,-52.41
185.5981,-51.0
185.6981,-51.38
185.7981,-53.82
185.8981,-56.55
185.9981,-54.67
186.0981,-53.73
186.1981,-52.98
186.2981,-52.51
186.3981,-53.92
186.4981,-55.42
186.5981,-55.05
186.6981,-53.64
186.7981,-51.57
186.8981,-50.91
186.9981,-51.38
187.0981,-54.58
187.1981,-55.61
187.2981,-53.45
187.3981,-51.85
187.4981,-51.09
187.5981,-51.66
187.6981,-52.41
187.7981,-54.29
187.8981,-56.08
187.9981,-55.14
188.0981,-52.51
188.1981,-51.75
188.2981,-52.04
188.3981,-53.07
188.4981,-54.58
188.5981,-55.89
188.6981,-53.17
188.7981,-52.51
188.8981,-52.22
188.9981,-53.82
189.0981,-54.58
189.1981,-55.8
189.2981,-55.05
189.3981,-51.85
189.4981,-49.97
189.5981,-51.19
189.6981,-53.82
189.7981,-55.52
189.8981,-54.58
189.9981,-51.75
190.0981,-51.0
190.1981,-51.75
190.2981,-52.22
190.3981,-54.77
190.4981,-57.59
190.5981,-54.29
190.6981,-52.32
190.7981,-52.51
190.8981,-53.07
190.9981,-53.35
191.0981,-53.92
191.1981,-55.71
191.2981,-55.71
191.3981,-52.98
191.4981,-50.91
191.5981,-51.85
191.6981,-54.95
191.7981,-55.52
191.8981,-54.67
191.9981,-51.85
192.0981,-51.09
192.1981,-51.09
192.2981,-53.07
192.3981,-55.8
192.4981,-56.84
192.5981,-54.95
192.6981,-52.69
192.7981,-52.32
192.8981,-52.41
192.9981,-53.54
193.0981,-55.52
193.1981,-54.58
193.2981,-51.38
193.3981,-50.44
193.4981,-51.28
193.5981,-53.45
193.6981,-56.18
193.7981,-56.46
193.8981,-54.11
193.9981,-51.85
194.0981,-51.09
194.1981,-52.79
194.2981,-54.95
194.3981,-56.27
194.4981,-55.24
194.5981,-53.45
194.6981,-51.94
194.7981,-51.94
194.8981,-53.35
194.9981,-54.67
195.0981,-55.14
195.1981,-52.88
195.2981,-50.91
195.3981,-50.91
195.4981,-52.04
195.5981,-53.92
195.6981,-55.71
195.7981,-54.11
195.8981,-52.41
195.9981,-51.28
196.0981,-52.04
196.1981,-54.29
196.2981,-55.52
196.3981,-55.71
196.4981,-54.67
196.5981,-53.17
196.6981,-52.32
196.7981,-52.22
196.8981,-54.77
196.9981,-55.14
197.0981,-54.2
197.1981,-52.98
197.2981,-51.85
197.3981,-51.94
197.4981,-51.75
197.5981,-54.29
197.6981,-55.24
197.7981,-53.35
197.8981,-51.94
197.9981,-50.44
198.0981,-51.85
198.1981,-54.95
198.2981,-56.46
198.3981,-53.73
198.4981,-52.51
198.5981,-52.22
198.6981,-51.19
198.7981,-52.22
198.8981,-54.48
198.9981,-54.95
199.0981,-53.26
199.1981,-51.0
199.2981,-51.85
199.3981,-52.32
199.4981,-52.13
199.5981,-55.24
199.6981,-55.52
199.7981,-52.98
199.8981,-51.66
199.9981,-52.32
200.0981,-53.35
200.1981,-54.86
200.2981,-56.27
200.3981,-53.35
200.4981,-52.04
200.5981,-51.19
200.6981,-51.19
200.7981,-52.98
200.8981,-55.42
200.9981,-55.89
201.0981,-52.79
201.1981,-51.57
201.2981,-52.51
201.3981,-53.07
201.4981,-54.48
201.5981,-55.52
201.6981,-54.95
201.7981,-52.79
201.8981,-51.75
201.9981,-52.22
202.0981,-53.64
202.1981,-55.33
202.2981,-55.33
202.3981,-52.98
202.4981,-51.38
202.5981,-51.28
202.6981,-52.79
202.7981,-55.99
202.8981,-58.44
202.9981,-55.89
203.0981,-52.51
203.1981,-50.62
203.2981,-51.85
203.3981,-52.69
203.4981,-54.39
203.5981,-56.74
203.6981,-54.11
203.7981,-52.41
203.8981,-52.88
203.9981,-55.61
204.0981,-55.99
204.1981,-56.37
204.2981,-53.45
204.3981,-51.28
204.4981,-50.62
204.5981,-51.28
204.6981,-53.35
204.7981,-56.84
204.8981,-57.31
204.9981,-54.58
205.0981,-52.22
205.1981,-52.04
205.2981,-53.35
205.3981,-55.05
205.4981,-54.95
205.5981,-54.86
205.6981,-53.64
205.7981,-52.32
205.8981,-51.85
205.9981,-53.92
206.0981,-56.27
206.1981,-54.77
206.2981,-52.51
206.3981,-51.57
206.4981,-52.32
206.5981,-53.82
206.6981,-53.17
206.7981,-55.42
206.8981,-55.52
206.9981,-54.01
207.0981,-53.35
207.1981,-53.17
207.2981,-54.86
207.3981,-56.65
207.4981,-57.02
207.5981,-54.67
207.6981,-51.75
207.7981,-51.38
207.8981,-53.35
207.9981,-55.24
208.0981,-54.86
208.1981,-54.48
208.2981,-52.41
208.3981,-51.47
208.4981,-51.75
208.5981,-53.17
208.6981,-56.65
208.7981,-56.74
208.8981,-54.11
208.9981,-52.88
209.0981,-52.98
209.1981,-54.67
209.2981,-55.14
209.3981,-56.37
209.4981,-55.71
209.5981,-52.04
209.6981,-50.91
209.7981,-52.79
209.8981,-53.92
209.9981,-55.24
210.0981,-55.8
210.1981,-54.11
210.2981,-52.69
210.3981,-51.57
210.4981,-51.75
210.5981,-52.98
210.6981,-55.24
210.7981,-55.89
210.8981,-53.54
210.9981,-52.13
211.0981,-52.41
211.1981,-53.73
211.2981,-55.99
211.3981,-54.39
211.4981,-52.69
211.5981,-51.19
211.6981,-51.94
211.7981,-52.51
211.8981,-53.64
211.9981,-57.68
212.0981,-53.92
212.1981,-51.85
212.2981,-51.75
212.3981,-50.72
212.4981,-52.41
212.5981,-57.02
212.6981,-58.34
212.7981,-53.82
212.8981,-51.28
212.9981,-51.94
213.0981,-54.2
213.1981,-55.24
213.2981,-57.87
213.3981,-54.67
213.4981,-51.75
213.5981,-51.09
213.6981,-52.22
213.7981,-54.48
213.8981,-55.61
213.9981,-56.65
214.0981,-54.95
214.1981,-52.88
214.2981,-52.98
214.3981,-51.85
214.4981,-53.45
214.5981,-55.52
214.6981,-54.29
214.7981,-53.64
214.8981,-52.88
214.9981,-52.13
215.0981,-54.48
215.1981,-56.46
215.2981,-55.52
215.3981,-53.35
215.4981,-53.73
215.5981,-52.6
215.6981,-52.6
215.7981,-52.13
215.8981,-53.64
215.9981,-53.92
216.0981,-53.35
216.1981,-52.13
216.2981,-51.85
216.3981,-51.85
216.4981,-52.88
216.5981,-56.08
216.6981,-55.33
216.7981,-53.17
216.8981,-52.79
216.9981,-52.51
217.0981,-53.92
217.1981,-55.71
217.2981,-54.58
217.3981,-52.13
217.4981,-50.44
217.5981,-51.09
217.6981,-53.82
217.7981,-55.61
217.8981,-55.42
217.9981,-53.54
218.0981,-52.22
218.1981,-51.75
218.2981,-51.94
218.3981,-53.07
218.4981,-55.05
218.5981,-54.95
218.6981,-53.35
218.7981,-51.66
218.8981,-52.41
218.9981,-53.73
219.0981,-54.2
219.1981,-55.24
219.2981,-53.64
219.3981,-51.94
219.4981,-51.94
219.5981,-52.41
219.6981,-54.95
219.7981,-58.91
219.8981,-56.55
219.9981,-53.54
220.0981,-52.13
220.1981,-52.41
220.2981,-54.48
220.3981,-56.65
220.4981,-56.46
220.5981,-54.11
220.6981,-51.75
220.7981,-50.91
220.8981,-51.09
220.9981,-52.69
221.0981,-55.8
221.1981,-54.95
221.2981,-52.79
221.3981,-51.75
221.4981,-52.6
221.5981,-53.07
221.6981,-54.86
221.7981,-56.27
221.8981,-54.77
221.9981,-53.82
222.0981,-52.88
222.1981,-51.47
222.2981,-53.07
222.3981,-55.89
222.4981,-54.86
222.5981,-53.73
222.6981,-52.79
