StatType:1
NumBins:1912
StartFreq:491898100
PerBin:real and imaginary coefficients
-0.561, 0.368
-0.233, 0.562
0.144, 0.595
0.499, 0.453
0.762, 0.158
0.870, -0.238
0.795, -0.656
0.541, -1.018
0.144, -1.247
-0.331, -1.294
-0.792, -1.147
-1.164, -0.828
-1.380, -0.392
-1.420, 0.090
-1.266, 0.549
-0.961, 0.910
-0.551, 1.121
-0.100, 1.163
0.319, 1.031
0.645, 0.752
0.832, 0.369
0.845, -0.050
0.686, -0.438
0.375, -0.722
-0.037, -0.847
-0.469, -0.786
-0.846, -0.535
-1.084, -0.138
-1.135, 0.338
-0.978, 0.801
-0.637, 1.166
-0.170, 1.364
0.341, 1.357
0.808, 1.148
1.154, 0.772
1.323, 0.295
1.294, -0.205
1.074, -0.649
0.703, -0.969
0.240, -1.115
-0.242, -1.069
-0.667, -0.834
-0.966, -0.446
-1.087, 0.038
-1.003, 0.541
-0.716, 0.982
-0.262, 1.281
0.293, 1.379
0.860, 1.245
1.344, 0.886
1.658, 0.352
1.739, -0.275
1.567, -0.891
1.168, -1.393
0.611, -1.701
-0.012, -1.769
-0.599, -1.599
-1.061, -1.229
-1.337, -0.729
-1.397, -0.184
-1.247, 0.323
-0.922, 0.715
-0.481, 0.938
0.000, 0.960
0.443, 0.784
0.770, 0.439
0.924, -0.018
0.869, -0.510
0.602, -0.948
0.156, -1.247
-0.396, -1.339
-0.959, -1.189
-1.433, -0.809
-1.720, -0.256
-1.767, 0.377
-1.561, 0.983
-1.139, 1.462
-0.573, 1.740
0.044, 1.785
0.617, 1.601
1.065, 1.228
1.333, 0.732
1.390, 0.195
1.246, -0.306
0.929, -0.697
0.498, -0.924
0.021, -0.958
-0.421, -0.794
-0.753, -0.460
-0.912, -0.012
-0.863, 0.471
-0.605, 0.897
-0.176, 1.182
0.351, 1.261
0.877, 1.108
1.304, 0.743
1.550, 0.228
1.570, -0.348
1.361, -0.885
0.962, -1.293
0.445, -1.513
-0.104, -1.518
-0.597, -1.319
-0.967, -0.959
-1.165, -0.501
-1.171, -0.018
-0.992, 0.417
-0.665, 0.737
-0.245, 0.896
0.199, 0.866
0.592, 0.656
0.861, 0.298
0.955, -0.149
0.847, -0.603
0.550, -0.978
0.112, -1.197
-0.390, -1.212
-0.859, -1.012
-1.206, -0.633
-1.367, -0.145
-1.316, 0.363
-1.069, 0.800
-0.676, 1.095
-0.211, 1.208
0.247, 1.128
0.625, 0.882
0.868, 0.514
0.945, 0.088
0.841, -0.328
0.582, -0.666
0.200, -0.867
-0.237, -0.894
-0.656, -0.734
-0.979, -0.402
-1.142, 0.046
-1.102, 0.539
-0.854, 0.983
-0.433, 1.292
0.084, 1.403
0.605, 1.292
1.035, 0.977
1.298, 0.522
1.356, 0.009
1.208, -0.474
0.887, -0.848
0.456, -1.059
-0.013, -1.081
-0.446, -0.914
-0.771, -0.590
-0.937, -0.160
-0.912, 0.305
-0.694, 0.727
