Frequency(MHz),Power(dBmV/100kHz)_20260203_091320
139.5981,-54.05
139.6981,-51.89
139.7981,-52.26
139.8981,-53.86
139.9981,-53.58
140.0981,-52.26
140.1981,-52.45
140.2981,-52.73
140.3981,-53.11
140.4981,-53.11
140.5981,-52.07
140.6981,-52.83
140.7981,-54.33
140.8981,-50.85
140.9981,-52.92
141.0981,-53.02
141.1981,-52.83
141.2981,-54.14
141.3981,-53.67
141.4981,-54.43
141.5981,-54.9
141.6981,-52.07
141.7981,-51.6
141.8981,-53.67
141.9981,-53.49
142.0981,-53.3
142.1981,-52.54
142.2981,-53.77
142.3981,-53.49
142.4981,-52.36
142.5981,-52.36
142.6981,-52.92
142.7981,-53.67
142.8981,-55.74
142.9981,-54.71
143.0981,-51.89
143.1981,-50.29
143.2981,-51.79
143.3981,-53.3
143.4981,-52.36
143.5981,-54.05
143.6981,-53.39
143.7981,-54.05
143.8981,-52.45
143.9981,-52.45
144.0981,-53.49
144.1981,-54.14
144.2981,-53.67
144.3981,-54.62
144.4981,-54.24
144.5981,-54.8
144.6981,-53.2
144.7981,-53.02
144.8981,-52.07
144.9981,-52.54
145.0981,-52.07
145.1981,-53.11
145.2981,-53.3
145.3981,-52.45
145.4981,-51.7
145.5981,-51.42
145.6981,-51.32
145.7981,-50.19
145.8981,-51.89
145.9981,-52.07
146.0981,-53.2
146.1981,-53.77
146.2981,-54.33
146.3981,-53.3
146.4981,-51.42
146.5981,-51.79
146.6981,-52.54
146.7981,-53.2
146.8981,-54.9
146.9981,-54.99
147.0981,-53.77
147.1981,-53.2
147.2981,-53.02
147.3981,-53.96
147.4981,-55.09
147.5981,-55.09
147.6981,-52.83
147.7981,-52.83
147.8981,-52.73
147.9981,-53.11
148.0981,-53.49
148.1981,-52.92
148.2981,-52.64
148.3981,-52.36
148.4981,-51.98
148.5981,-50.94
148.6981,-51.51
148.7981,-52.64
148.8981,-52.17
148.9981,-52.54
149.0981,-53.77
149.1981,-54.99
149.2981,-54.33
149.3981,-51.89
149.4981,-52.92
149.5981,-52.83
149.6981,-52.92
149.7981,-54.43
149.8981,-54.43
149.9981,-54.9
150.0981,-54.52
150.1981,-53.67
150.2981,-55.84
150.3981,-53.39
150.4981,-52.92
150.5981,-52.26
150.6981,-52.26
150.7981,-52.26
150.8981,-52.45
150.9981,-51.42
151.0981,-51.79
151.1981,-50.66
151.2981,-51.32
151.3981,-53.2
151.4981,-51.51
