Frequency(MHz),Power(dBmV/100kHz)_20260203_064235
139.8981,-1.28
139.9981,-2.13
140.0981,-4.1
140.1981,-4.85
140.2981,-5.7
140.3981,-4.95
140.4981,-1.18
140.5981,0.51
140.6981,1.17
140.7981,1.17
140.8981,0.23
140.9981,-0.34
141.0981,-1.84
141.1981,-4.57
141.2981,-7.58
141.3981,-10.6
141.4981,-8.34
141.5981,-5.04
141.6981,-3.73
141.7981,-2.03
141.8981,-1.0
141.9981,-1.09
142.0981,-1.09
142.1981,-0.06
142.2981,1.17
142.3981,1.07
142.4981,0.98
142.5981,0.51
142.6981,-1.0
142.7981,-2.5
142.8981,-6.55
142.9981,-8.62
143.0981,-7.4
143.1981,-4.67
143.2981,-3.07
143.3981,-2.13
143.4981,-2.5
143.5981,-5.14
143.6981,-9.18
143.7981,-14.08
143.8981,-13.7
143.9981,-10.41
144.0981,-8.71
144.1981,-4.95
144.2981,-2.78
144.3981,-1.84
144.4981,-1.47
144.5981,-1.84
144.6981,-1.37
144.7981,-0.9
144.8981,-1.56
144.9981,-1.37
145.0981,-1.18
145.1981,-1.28
145.2981,-2.13
145.3981,-4.2
145.4981,-6.17
145.5981,-8.43
145.6981,-5.89
145.7981,-2.41
145.8981,-1.09
145.9981,1.07
146.0981,1.54
146.1981,2.11
146.2981,3.33
146.3981,2.2
146.4981,0.42
146.5981,-0.62
146.6981,-3.63
146.7981,-4.57
146.8981,-6.08
146.9981,-6.36
147.0981,-6.08
147.1981,-4.67
147.2981,-5.14
147.3981,-2.78
147.4981,-2.6
147.5981,-2.13
147.6981,-0.81
147.7981,0.89
147.8981,-0.24
147.9981,-0.9
148.0981,-0.43
148.1981,-2.97
148.2981,-5.61
148.3981,-5.42
148.4981,-5.42
148.5981,-2.97
148.6981,-1.37
148.7981,-0.71
148.8981,0.04
148.9981,-0.43
149.0981,-1.18
149.1981,-2.97
149.2981,-5.23
149.3981,-8.34
149.4981,-9.84
149.5981,-10.69
149.6981,-13.61
149.7981,-14.93
149.8981,-11.35
149.9981,-5.98
150.0981,-4.57
150.1981,-1.84
150.2981,-0.43
150.3981,-0.06
150.4981,0.79
150.5981,-0.43
150.6981,-1.18
150.7981,-2.41
150.8981,-5.61
150.9981,-10.78
151.0981,-12.76
151.1981,-6.27
151.2981,-3.26
151.3981,-0.06
151.4981,1.17
151.5981,1.54
151.6981,1.36
151.7981,0.7
151.8981,0.51
151.9981,-1.56
152.0981,-2.78
152.1981,-3.26
152.2981,-3.07
152.3981,-2.69
152.4981,-2.6
152.5981,-3.26
152.6981,-3.44
152.7981,-4.57
152.8981,-4.1
152.9981,-2.31
153.0981,-1.18
153.1981,-1.18
153.2981,-1.56
153.3981,-2.03
153.4981,-2.03
153.5981,-4.01
153.6981,-5.04
153.7981,-5.8
153.8981,-3.82
153.9981,-0.9
154.0981,0.51
154.1981,0.79
154.2981,0.98
154.3981,0.51
154.4981,0.7
154.5981,-1.18
154.6981,-2.78
154.7981,-5.8
154.8981,-7.58
154.9981,-6.74
155.0981,-4.95
155.1981,-4.1
155.2981,-4.67
155.3981,-3.91
155.4981,-5.7
155.5981,-7.87
155.6981,-12.29
155.7981,-11.73
155.8981,-6.08
155.9981,-3.63
156.0981,-1.66
156.1981,-1.56
156.2981,-3.82
156.3981,-5.8
156.4981,-7.3
156.5981,-7.58
156.6981,-3.54
156.7981,-2.03
156.8981,-0.43
156.9981,0.04
157.0981,0.04
157.1981,-1.18
157.2981,-1.56
157.3981,-2.97
157.4981,-2.78
157.5981,-3.54
157.6981,-3.35
157.7981,-2.69
157.8981,-2.41
157.9981,-2.31
158.0981,-1.56
158.1981,-1.94
158.2981,-1.09
158.3981,-0.43
158.4981,-0.81
158.5981,-0.34
158.6981,0.89
158.7981,-0.81
158.8981,-1.66
158.9981,-6.55
159.0981,-9.65
159.1981,-7.02
159.2981,-3.07
159.3981,-0.62
159.4981,-0.06
159.5981,0.7
159.6981,1.45
159.7981,1.64
159.8981,1.17
159.9981,0.89
160.0981,-0.53
160.1981,-1.37
160.2981,-2.78
160.3981,-4.1
160.4981,-5.98
160.5981,-6.27
160.6981,-6.45
160.7981,-5.23
160.8981,-3.82
160.9981,-1.75
161.0981,0.04
161.1981,0.42
161.2981,-0.9
161.3981,-1.94
161.4981,-5.33
161.5981,-9.47
161.6981,-15.58
161.7981,-15.77
161.8981,-10.97
161.9981,-6.55
162.0981,-3.44
162.1981,-0.9
162.2981,0.23
162.3981,-0.62
162.4981,-0.43
162.5981,-1.37
162.6981,-1.84
162.7981,-3.44
162.8981,-4.2
162.9981,-4.48
163.0981,-3.73
163.1981,-3.07
163.2981,-3.35
163.3981,-3.44
163.4981,-1.75
163.5981,-0.43
163.6981,-0.53
163.7981,0.79
163.8981,0.89
163.9981,0.89
164.0981,1.36
164.1981,-0.06
164.2981,-2.13
164.3981,-5.33
164.4981,-8.81
164.5981,-10.41
164.6981,-6.36
164.7981,-2.41
164.8981,-1.09
164.9981,0.51
165.0981,1.36
165.1981,1.36
165.2981,0.7
165.3981,0.04
165.4981,-0.53
165.5981,-1.18
165.6981,-1.28
165.7981,-2.13
165.8981,-1.84
165.9981,-2.78
166.0981,-3.91
166.1981,-4.01
166.2981,-3.35
166.3981,-2.78
166.4981,-2.03
166.5981,-0.43
166.6981,1.54
166.7981,0.04
166.8981,-0.34
166.9981,-3.07
167.0981,-5.23
167.1981,-5.98
167.2981,-6.36
167.3981,-5.98
167.4981,-5.98
167.5981,-9.65
167.6981,-11.73
167.7981,-7.58
167.8981,-3.35
167.9981,-1.47
168.0981,-2.13
168.1981,-1.94
168.2981,-3.16
168.3981,-4.85
168.4981,-5.14
168.5981,-5.51
168.6981,-5.98
168.7981,-4.95
168.8981,-3.91
168.9981,-1.66
169.0981,0.89
169.1981,2.02
169.2981,2.3
169.3981,2.77
169.4981,2.67
169.5981,1.17
169.6981,0.7
169.7981,-2.13
169.8981,-5.42
169.9981,-8.62
170.0981,-7.11
170.1981,-5.04
170.2981,-2.22
170.3981,-1.18
170.4981,0.98
170.5981,-0.06
170.6981,-0.43
170.7981,-1.66
170.8981,-1.56
170.9981,-1.47
171.0981,-1.0
171.1981,-0.9
171.2981,-1.0
171.3981,-2.6
171.4981,-2.69
171.5981,-1.66
171.6981,-1.37
171.7981,-1.0
171.8981,0.32
171.9981,1.17
172.0981,0.7
172.1981,0.51
172.2981,-0.24
172.3981,-2.03
172.4981,-5.33
172.5981,-9.94
172.6981,-9.65
172.7981,-5.8
172.8981,-2.41
172.9981,0.32
173.0981,0.98
173.1981,0.98
173.2981,-0.15
173.3981,-2.69
173.4981,-6.93
173.5981,-12.57
173.6981,-13.98
173.7981,-9.75
173.8981,-7.3
173.9981,-6.83
174.0981,-6.74
174.1981,-6.36
