Frequency(MHz),Power(dBmV/100kHz)_20260203_064235
142.4981,21.45
142.5981,21.36
142.6981,20.98
142.7981,21.26
142.8981,20.98
142.9981,21.17
143.0981,21.17
143.1981,21.45
143.2981,20.32
143.3981,20.23
143.4981,18.63
143.5981,16.65
143.6981,12.13
143.7981,8.46
143.8981,11.1
143.9981,14.58
144.0981,18.53
144.1981,19.47
144.2981,19.95
144.3981,19.85
144.4981,21.26
144.5981,20.89
144.6981,21.26
144.7981,21.36
144.8981,21.55
144.9981,21.36
145.0981,21.83
145.1981,21.36
145.2981,20.89
145.3981,20.89
145.4981,21.45
145.5981,21.45
145.6981,20.98
145.7981,21.17
145.8981,20.6
145.9981,21.55
146.0981,21.07
146.1981,21.83
146.2981,21.64
146.3981,21.36
146.4981,22.49
146.5981,22.02
146.6981,21.55
146.7981,22.11
146.8981,21.17
146.9981,22.3
147.0981,20.89
147.1981,21.26
147.2981,21.36
147.3981,21.07
147.4981,21.55
147.5981,20.79
147.6981,20.32
147.7981,20.42
147.8981,21.17
147.9981,21.07
148.0981,21.17
148.1981,19.76
148.2981,20.6
148.3981,20.32
148.4981,21.17
148.5981,20.51
148.6981,20.89
148.7981,21.07
148.8981,21.26
148.9981,20.51
149.0981,21.17
149.1981,21.07
149.2981,19.38
149.3981,18.91
149.4981,17.78
149.5981,14.3
149.6981,9.78
149.7981,7.71
149.8981,11.85
149.9981,16.18
150.0981,18.53
150.1981,19.38
150.2981,19.95
150.3981,20.51
150.4981,20.79
150.5981,21.07
150.6981,20.51
150.7981,21.92
150.8981,20.98
150.9981,21.73
151.0981,21.64
151.1981,20.7
151.2981,21.07
151.3981,20.79
151.4981,21.45
151.5981,21.55
151.6981,20.98
151.7981,21.45
151.8981,20.98
151.9981,20.98
152.0981,19.95
152.1981,21.07
152.2981,21.26
152.3981,21.26
152.4981,21.64
152.5981,21.55
152.6981,21.45
152.7981,21.07
152.8981,21.36
152.9981,20.6
153.0981,20.32
153.1981,21.36
153.2981,20.6
153.3981,20.7
153.4981,20.7
153.5981,21.45
153.6981,21.55
153.7981,20.32
153.8981,21.17
153.9981,21.73
154.0981,21.26
154.1981,21.26
154.2981,21.45
154.3981,20.79
154.4981,20.6
154.5981,20.42
154.6981,21.07
154.7981,20.51
154.8981,21.45
154.9981,21.26
155.0981,20.51
155.1981,20.6
155.2981,20.7
155.3981,19.29
155.4981,17.12
155.5981,13.26
155.6981,8.75
155.7981,8.56
155.8981,13.17
155.9981,16.84
156.0981,19.29
156.1981,20.04
156.2981,21.26
156.3981,20.32
156.4981,20.89
156.5981,19.85
156.6981,20.6
156.7981,20.6
156.8981,20.79
156.9981,22.02
157.0981,20.51
157.1981,20.7
157.2981,21.07
157.3981,20.79
157.4981,20.6
157.5981,20.89
157.6981,21.36
157.7981,21.36
157.8981,21.73
157.9981,20.79
158.0981,21.83
158.1981,21.36
158.2981,21.45
158.3981,21.36
158.4981,21.17
158.5981,22.2
158.6981,21.45
158.7981,21.26
158.8981,21.07
158.9981,21.17
159.0981,21.64
159.1981,20.42
159.2981,21.36
159.3981,20.6
159.4981,21.07
159.5981,20.23
159.6981,20.98
159.7981,20.7
159.8981,21.55
159.9981,20.79
160.0981,21.26
160.1981,21.26
160.2981,20.79
160.3981,21.26
160.4981,21.36
160.5981,21.36
160.6981,22.39
160.7981,21.55
160.8981,21.26
160.9981,21.55
161.0981,21.07
161.1981,19.85
161.2981,19.57
161.3981,18.82
161.4981,15.24
161.5981,12.51
161.6981,7.52
161.7981,9.69
161.8981,14.77
161.9981,17.5
162.0981,19.57
162.1981,21.45
162.2981,20.51
162.3981,21.17
162.4981,20.98
162.5981,21.07
162.6981,21.73
162.7981,20.79
162.8981,21.45
162.9981,22.2
163.0981,21.73
163.1981,21.64
163.2981,21.07
163.3981,21.26
163.4981,21.45
163.5981,21.45
163.6981,21.17
163.7981,20.7
163.8981,21.45
163.9981,20.7
164.0981,21.92
164.1981,20.32
164.2981,20.79
164.3981,20.89
164.4981,22.2
164.5981,20.42
164.6981,21.83
164.7981,20.7
164.8981,21.36
164.9981,20.98
165.0981,21.26
165.1981,20.7
165.2981,20.89
165.3981,20.98
165.4981,21.07
165.5981,21.17
165.6981,20.04
165.7981,20.23
165.8981,20.89
165.9981,20.98
166.0981,20.89
166.1981,21.73
166.2981,21.36
166.3981,21.55
166.4981,22.11
166.5981,21.26
166.6981,21.45
166.7981,21.73
166.8981,21.26
166.9981,20.89
167.0981,20.89
167.1981,20.79
167.2981,18.91
167.3981,17.69
167.4981,16.65
167.5981,10.72
167.6981,8.37
167.7981,12.51
167.8981,16.56
167.9981,18.06
168.0981,19.66
168.1981,20.79
168.2981,21.17
168.3981,20.6
168.4981,21.07
168.5981,20.7
168.6981,21.83
168.7981,20.98
168.8981,20.79
168.9981,21.83
169.0981,21.45
169.1981,20.7
169.2981,21.64
169.3981,20.98
169.4981,20.32
169.5981,21.36
169.6981,20.89
169.7981,20.79
169.8981,20.98
169.9981,20.23
170.0981,20.89
170.1981,20.7
170.2981,21.17
170.3981,20.7
170.4981,22.11
170.5981,20.98
170.6981,20.89
170.7981,20.7
170.8981,20.98
170.9981,21.64
171.0981,21.83
171.1981,20.79
171.2981,20.89
171.3981,22.39
171.4981,20.98
171.5981,20.42
171.6981,22.02
171.7981,21.26
171.8981,20.7
171.9981,20.79
172.0981,21.64
172.1981,22.02
172.2981,21.36
172.3981,21.64
172.4981,22.02
172.5981,21.26
172.6981,20.6
172.7981,21.64
172.8981,21.55
172.9981,21.26
173.0981,21.55
173.1981,21.26
173.2981,18.63
173.3981,17.12
173.4981,13.92
173.5981,8.65
173.6981,8.84
173.7981,12.79
173.8981,16.84
173.9981,18.06
174.0981,21.26
174.1981,21.36
174.2981,20.51
174.3981,20.98
174.4981,21.73
174.5981,21.55
174.6981,21.36
174.7981,21.92
174.8981,20.7
174.9981,21.17
175.0981,21.83
175.1981,20.89
175.2981,21.07
175.3981,20.7
175.4981,21.55
175.5981,21.07
175.6981,20.89
175.7981,21.07
175.8981,20.79
175.9981,21.45
176.0981,22.02
176.1981,20.79
176.2981,21.17
176.3981,21.55
176.4981,21.92
176.5981,20.98
176.6981,20.51
176.7981,21.83
176.8981,21.26
176.9981,21.55
177.0981,21.36
177.1981,20.79
177.2981,21.26
177.3981,21.55
177.4981,21.17
177.5981,20.6
177.6981,20.51
177.7981,21.26
